N°        Compile         Mode  Dimension  Test_Mode  Samples    N Procs    Scaling    Time(s)        
27         MPISG           2     16         1          25         0          2          0.000061511993 
28         MPISG           2     16         1          25         0          2          0.000047445297 
29         MPISG           2     16         1          25         0          2          0.000034332275 
30         MPISG           2     16         1          25         0          2          0.000034332275 
31         MPISG           2     16         1          25         0          2          0.000019073486 
32         MPISG           2     16         1          25         0          2          0.000016927719 
33         MPISG           2     16         1          25         0          2          0.000014781952 
34         MPISG           2     16         1          25         0          2          0.000015974045 
35         MPISG           2     16         1          25         0          2          0.000014781952 
36         MPISG           2     16         1          25         0          2          0.000016212463 
37         MPISG           2     16         1          25         0          2          0.000015020370 
38         MPISG           2     16         1          25         0          2          0.000016689301 
39         MPISG           2     16         1          25         0          2          0.000015020370 
40         MPISG           2     16         1          25         0          2          0.000016450882 
41         MPISG           2     16         1          25         0          2          0.000015020370 
42         MPISG           2     16         1          25         0          2          0.000015735626 
43         MPISG           2     16         1          25         0          2          0.000015258789 
44         MPISG           2     16         1          25         0          2          0.000015974045 
45         MPISG           2     16         1          25         0          2          0.000014543533 
46         MPISG           2     16         1          25         0          2          0.000016212463 
47         MPISG           2     16         1          25         0          2          0.000016450882 
48         MPISG           2     16         1          25         0          2          0.000015497208 
49         MPISG           2     16         1          25         0          2          0.000014781952 
50         MPISG           2     16         1          25         0          2          0.000015497208 
51         MPISG           2     16         1          25         0          2          0.000016212463 
52         MPISG           2     16         1          25         0          4          0.001149177551 
53         MPISG           2     16         1          25         0          4          0.000102758408 
54         MPISG           2     16         1          25         0          4          0.000105381012 
55         MPISG           2     16         1          25         0          4          0.000125408173 
56         MPISG           2     16         1          25         0          4          0.000067710876 
57         MPISG           2     16         1          25         0          4          0.000044345856 
58         MPISG           2     16         1          25         0          4          0.000045537949 
59         MPISG           2     16         1          25         0          4          0.000037431717 
60         MPISG           2     16         1          25         0          4          0.000037431717 
61         MPISG           2     16         1          25         0          4          0.000048875809 
62         MPISG           2     16         1          25         0          4          0.000039815903 
63         MPISG           2     16         1          25         0          4          0.000050067902 
64         MPISG           2     16         1          25         0          4          0.000043869019 
65         MPISG           2     16         1          25         0          4          0.000048398972 
66         MPISG           2     16         1          25         0          4          0.000040054321 
67         MPISG           2     16         1          25         0          4          0.000040531158 
68         MPISG           2     16         1          25         0          4          0.000039339066 
69         MPISG           2     16         1          25         0          4          0.000044345856 
70         MPISG           2     16         1          25         0          4          0.000038623810 
71         MPISG           2     16         1          25         0          4          0.000043392181 
72         MPISG           2     16         1          25         0          4          0.000039100647 
73         MPISG           2     16         1          25         0          4          0.000039339066 
74         MPISG           2     16         1          25         0          4          0.000039339066 
75         MPISG           2     16         1          25         0          4          0.000039100647 
76         MPISG           2     16         1          25         0          4          0.000037908554 
77         MPISG           2     16         1          25         0          8          0.000749349594 
78         MPISG           2     16         1          25         0          8          0.000255823135 
79         MPISG           2     16         1          25         0          8          0.000234127045 
80         MPISG           2     16         1          25         0          8          0.000227689743 
81         MPISG           2     16         1          25         0          8          0.000170946121 
82         MPISG           2     16         1          25         0          8          0.000088214874 
83         MPISG           2     16         1          25         0          8          0.000075817108 
84         MPISG           2     16         1          25         0          8          0.000079393387 
85         MPISG           2     16         1          25         0          8          0.000082731247 
86         MPISG           2     16         1          25         0          8          0.000082015991 
87         MPISG           2     16         1          25         0          8          0.000086069107 
88         MPISG           2     16         1          25         0          8          0.000074625015 
89         MPISG           2     16         1          25         0          8          0.000076532364 
90         MPISG           2     16         1          25         0          8          0.000078678131 
91         MPISG           2     16         1          25         0          8          0.000074148178 
92         MPISG           2     16         1          25         0          8          0.000072956085 
93         MPISG           2     16         1          25         0          8          0.000075578690 
94         MPISG           2     16         1          25         0          8          0.000082254410 
95         MPISG           2     16         1          25         0          8          0.000080823898 
96         MPISG           2     16         1          25         0          8          0.000076770782 
97         MPISG           2     16         1          25         0          8          0.000077009201 
98         MPISG           2     16         1          25         0          8          0.000076532364 
99         MPISG           2     16         1          25         0          8          0.000080823898 
100        MPISG           2     16         1          25         0          8          0.000076293945 
101        MPISG           2     16         1          25         0          8          0.000077247620 
102        MPISG           2     16         1          25         0          16         0.001569032669 
103        MPISG           2     16         1          25         0          16         0.000550985336 
104        MPISG           2     16         1          25         0          16         0.000500202179 
105        MPISG           2     16         1          25         0          16         0.000491142273 
106        MPISG           2     16         1          25         0          16         0.000296831131 
107        MPISG           2     16         1          25         0          16         0.000186681747 
108        MPISG           2     16         1          25         0          16         0.000175237656 
109        MPISG           2     16         1          25         0          16         0.000164031982 
110        MPISG           2     16         1          25         0          16         0.000160217285 
111        MPISG           2     16         1          25         0          16         0.000159025192 
112        MPISG           2     16         1          25         0          16         0.000171661377 
113        MPISG           2     16         1          25         0          16         0.000154495239 
114        MPISG           2     16         1          25         0          16         0.000153779984 
115        MPISG           2     16         1          25         0          16         0.000150680542 
116        MPISG           2     16         1          25         0          16         0.000164508820 
117        MPISG           2     16         1          25         0          16         0.000152826309 
118        MPISG           2     16         1          25         0          16         0.000154495239 
119        MPISG           2     16         1          25         0          16         0.000151872635 
120        MPISG           2     16         1          25         0          16         0.000145196915 
121        MPISG           2     16         1          25         0          16         0.000161886215 
122        MPISG           2     16         1          25         0          16         0.000155448914 
123        MPISG           2     16         1          25         0          16         0.000152111053 
124        MPISG           2     16         1          25         0          16         0.000153779984 
125        MPISG           2     16         1          25         0          16         0.000161886215 
126        MPISG           2     16         1          25         0          16         0.000156641006 
127        MPISG           2     16         1          25         0          16         0.001103639603 
128        MPISG           2     16         1          25         0          16         0.000534057617 
129        MPISG           2     16         1          25         0          16         0.000488758087 
130        MPISG           2     16         1          25         0          16         0.000483274460 
131        MPISG           2     16         1          25         0          16         0.000292062759 
132        MPISG           2     16         1          25         0          16         0.000165700912 
133        MPISG           2     16         1          25         0          16         0.000147342682 
134        MPISG           2     16         1          25         0          16         0.000148057938 
135        MPISG           2     16         1          25         0          16         0.000167846680 
136        MPISG           2     16         1          25         0          16         0.000173330307 
137        MPISG           2     16         1          25         0          16         0.000168800354 
138        MPISG           2     16         1          25         0          16         0.000155210495 
139        MPISG           2     16         1          25         0          16         0.000170946121 
140        MPISG           2     16         1          25         0          16         0.000161409378 
141        MPISG           2     16         1          25         0          16         0.000160217285 
142        MPISG           2     16         1          25         0          16         0.000151157379 
143        MPISG           2     16         1          25         0          16         0.000156164169 
144        MPISG           2     16         1          25         0          16         0.000149488449 
145        MPISG           2     16         1          25         0          16         0.000157833099 
146        MPISG           2     16         1          25         0          16         0.000149965286 
147        MPISG           2     16         1          25         0          16         0.000154018402 
148        MPISG           2     16         1          25         0          16         0.000153064728 
149        MPISG           2     16         1          25         0          16         0.000154495239 
150        MPISG           2     16         1          25         0          16         0.000155687332 
151        MPISG           2     16         1          25         0          16         0.000147819519 
152        MPISG           2     16         1          25         0          16         0.001133680344 
153        MPISG           2     16         1          25         0          16         0.000573873520 
154        MPISG           2     16         1          25         0          16         0.000517606735 
155        MPISG           2     16         1          25         0          16         0.000494718552 
156        MPISG           2     16         1          25         0          16         0.000322103500 
157        MPISG           2     16         1          25         0          16         0.000174522400 
158        MPISG           2     16         1          25         0          16         0.000163793564 
159        MPISG           2     16         1          25         0          16         0.000153303146 
160        MPISG           2     16         1          25         0          16         0.000169754028 
161        MPISG           2     16         1          25         0          16         0.000172376633 
162        MPISG           2     16         1          25         0          16         0.000153303146 
163        MPISG           2     16         1          25         0          16         0.000168561935 
164        MPISG           2     16         1          25         0          16         0.000152111053 
165        MPISG           2     16         1          25         0          16         0.000164508820 
166        MPISG           2     16         1          25         0          16         0.000162124634 
167        MPISG           2     16         1          25         0          16         0.000146627426 
168        MPISG           2     16         1          25         0          16         0.000149488449 
169        MPISG           2     16         1          25         0          16         0.000159025192 
170        MPISG           2     16         1          25         0          16         0.000166177750 
171        MPISG           2     16         1          25         0          16         0.000165462494 
172        MPISG           2     16         1          25         0          16         0.000148534775 
173        MPISG           2     16         1          25         0          16         0.000153541565 
174        MPISG           2     16         1          25         0          16         0.000158786774 
175        MPISG           2     16         1          25         0          16         0.000163555145 
176        MPISG           2     16         1          25         0          16         0.000150203705 
202        MPISG           2     32         1          25         0          2          0.000096797943 
203        MPISG           2     32         1          25         0          2          0.000069141388 
204        MPISG           2     32         1          25         0          2          0.000026226044 
205        MPISG           2     32         1          25         0          2          0.000023603439 
206        MPISG           2     32         1          25         0          2          0.000025272369 
207        MPISG           2     32         1          25         0          2          0.000022888184 
208        MPISG           2     32         1          25         0          2          0.000024318695 
209        MPISG           2     32         1          25         0          2          0.000031471252 
210        MPISG           2     32         1          25         0          2          0.000024795532 
211        MPISG           2     32         1          25         0          2          0.000024795532 
212        MPISG           2     32         1          25         0          2          0.000025033951 
213        MPISG           2     32         1          25         0          2          0.000026226044 
214        MPISG           2     32         1          25         0          2          0.000025749207 
215        MPISG           2     32         1          25         0          2          0.000023603439 
216        MPISG           2     32         1          25         0          2          0.000024318695 
217        MPISG           2     32         1          25         0          2          0.000027894974 
218        MPISG           2     32         1          25         0          2          0.000024795532 
219        MPISG           2     32         1          25         0          2          0.000023365021 
220        MPISG           2     32         1          25         0          2          0.000025510788 
221        MPISG           2     32         1          25         0          2          0.000028848648 
222        MPISG           2     32         1          25         0          2          0.000023603439 
223        MPISG           2     32         1          25         0          2          0.000024795532 
224        MPISG           2     32         1          25         0          2          0.000024557114 
225        MPISG           2     32         1          25         0          2          0.000023841858 
226        MPISG           2     32         1          25         0          2          0.000024080276 
227        MPISG           2     32         1          25         0          4          0.000699996948 
228        MPISG           2     32         1          25         0          4          0.000237226486 
229        MPISG           2     32         1          25         0          4          0.000100135803 
230        MPISG           2     32         1          25         0          4          0.000089406967 
231        MPISG           2     32         1          25         0          4          0.000081300735 
232        MPISG           2     32         1          25         0          4          0.000082731247 
