N°        Compile         Mode  Dimension  Test_Mode  Samples    N Procs    Scaling    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
1          MPISG           2     16         1          25         1          0          0.000006699562  0.000006699562  1.00       100.00    %
2          MPISG           2     16         1          25         2          0          0.000015902519  0.000006699562  0.42       21.06     %
3          MPISG           2     16         1          25         4          0          0.000042057037  0.000006699562  0.16       3.98      %
4          MPISG           2     16         1          25         8          0          0.000079154968  0.000006699562  0.08       1.06      %
5          MPISG           2     16         1          25         16         0          0.000159263611  0.000006699562  0.04       0.26      %
6          MPISG           2     16         1          25         32         0          0.000158858299  0.000006699562  0.04       0.13      %
7          MPISG           2     16         1          25         64         0          0.000162553787  0.000006699562  0.04       0.06      %
8          MPISG           2     32         1          25         1          0          0.000009965897  0.000009965897  1.00       100.00    %
9          MPISG           2     32         1          25         2          0          0.000024819374  0.000009965897  0.40       20.08     %
10         MPISG           2     32         1          25         4          0          0.000070214272  0.000009965897  0.14       3.55      %
11         MPISG           2     32         1          25         8          0          0.000139927864  0.000009965897  0.07       0.89      %
12         MPISG           2     32         1          25         16         0          0.000320839882  0.000009965897  0.03       0.19      %
13         MPISG           2     32         1          25         32         0          0.000383520126  0.000009965897  0.03       0.08      %
14         MPISG           2     32         1          25         64         0          0.000383996964  0.000009965897  0.03       0.04      %
15         MPISG           2     64         1          25         1          0          0.000032043457  0.000032043457  1.00       100.00    %
16         MPISG           2     64         1          25         2          0          0.000046777725  0.000032043457  0.69       34.25     %
17         MPISG           2     64         1          25         4          0          0.000150966644  0.000032043457  0.21       5.31      %
18         MPISG           2     64         1          25         8          0          0.000284337997  0.000032043457  0.11       1.41      %
19         MPISG           2     64         1          25         16         0          0.000832438469  0.000032043457  0.04       0.24      %
20         MPISG           2     64         1          25         32         0          0.000754857063  0.000032043457  0.04       0.13      %
21         MPISG           2     64         1          25         64         0          0.001515746117  0.000032043457  0.02       0.03      %
22         MPISG           2     128        1          25         1          0          0.000130748749  0.000130748749  1.00       100.00    %
23         MPISG           2     128        1          25         2          0          0.000118517876  0.000130748749  1.10       55.16     %
24         MPISG           2     128        1          25         4          0          0.000349688530  0.000130748749  0.37       9.35      %
25         MPISG           2     128        1          25         8          0          0.000741505623  0.000130748749  0.18       2.20      %
26         MPISG           2     128        1          25         16         0          0.002291107178  0.000130748749  0.06       0.36      %
27         MPISG           2     128        1          25         32         0          0.001522302628  0.000130748749  0.09       0.27      %
28         MPISG           2     128        1          25         64         0          0.003057432175  0.000130748749  0.04       0.07      %
29         MPISG           2     256        1          25         1          0          0.000556278229  0.000556278229  1.00       100.00    %
30         MPISG           2     256        1          25         2          0          0.000470948219  0.000556278229  1.18       59.06     %
31         MPISG           2     256        1          25         4          0          0.000823831558  0.000556278229  0.68       16.88     %
32         MPISG           2     256        1          25         8          0          0.002132654190  0.000556278229  0.26       3.26      %
33         MPISG           2     256        1          25         16         0          0.006285500526  0.000556278229  0.09       0.55      %
34         MPISG           2     256        1          25         32         0          0.002969503403  0.000556278229  0.19       0.59      %
35         MPISG           2     256        1          25         64         0          0.006531310081  0.000556278229  0.09       0.13      %
36         MPISG           2     512        1          25         1          0          0.002450799942  0.002450799942  1.00       100.00    %
37         MPISG           2     512        1          25         2          0          0.001660823822  0.002450799942  1.48       73.78     %
38         MPISG           2     512        1          25         4          0          0.002120161057  0.002450799942  1.16       28.90     %
39         MPISG           2     512        1          25         8          0          0.004770708084  0.002450799942  0.51       6.42      %
40         MPISG           2     512        1          25         16         0          0.018147659302  0.002450799942  0.14       0.84      %
41         MPISG           2     512        1          25         32         0          0.006593322754  0.002450799942  0.37       1.16      %
42         MPISG           2     512        1          25         64         0          0.012869000435  0.002450799942  0.19       0.30      %
43         MPISG           2     1024       1          25         1          0          0.010629987717  0.010629987717  1.00       100.00    %
44         MPISG           2     1024       1          25         2          0          0.007348775864  0.010629987717  1.45       72.32     %
45         MPISG           2     1024       1          25         4          0          0.007204461098  0.010629987717  1.48       36.89     %
46         MPISG           2     1024       1          25         8          0          0.011946606636  0.010629987717  0.89       11.12     %
47         MPISG           2     1024       1          25         16         0          0.038757777214  0.010629987717  0.27       1.71      %
48         MPISG           2     1024       1          25         32         0          0.015347576141  0.010629987717  0.69       2.16      %
49         MPISG           2     1024       1          25         64         0          0.026890277863  0.010629987717  0.40       0.62      %
50         MPISG           2     2048       1          25         1          0          0.049259185791  0.049259185791  1.00       100.00    %
51         MPISG           2     2048       1          25         2          0          0.031095433235  0.049259185791  1.58       79.21     %
52         MPISG           2     2048       1          25         4          0          0.025532460213  0.049259185791  1.93       48.23     %
53         MPISG           2     2048       1          25         8          0          0.036546468735  0.049259185791  1.35       16.85     %
54         MPISG           2     2048       1          25         16         0          0.092177343369  0.049259185791  0.53       3.34      %
55         MPISG           2     2048       1          25         32         0          0.037909722328  0.049259185791  1.30       4.06      %
56         MPISG           2     2048       1          25         64         0          0.063914227486  0.049259185791  0.77       1.20      %
57         MPISG           2     4096       1          25         1          0          0.228516817093  0.228516817093  1.00       100.00    %
58         MPISG           2     4096       1          25         2          0          0.155049085617  0.228516817093  1.47       73.69     %
59         MPISG           2     4096       1          25         4          0          0.181236219406  0.228516817093  1.26       31.52     %
60         MPISG           2     4096       1          25         8          0          0.161326217651  0.228516817093  1.42       17.71     %
61         MPISG           2     4096       1          25         16         0          0.244370770454  0.228516817093  0.94       5.84      %
62         MPISG           2     4096       1          25         32         0          0.140583300591  0.228516817093  1.63       5.08      %
63         MPISG           2     4096       1          25         64         0          0.169166064262  0.228516817093  1.35       2.11      %
64         MPISG           2     16         1          25         1          1          0.000005888939  0.000005888939  1.00       100.00    %
65         MPISG           2     16         1          25         2          1          0.000013279915  0.000005888939  0.44       22.17     %
66         MPISG           2     16         1          25         4          1          0.000040459633  0.000005888939  0.15       3.64      %
67         MPISG           2     16         1          25         8          1          0.000085759163  0.000005888939  0.07       0.86      %
68         MPISG           2     16         1          25         16         1          0.000182461739  0.000005888939  0.03       0.20      %
69         MPISG           2     32         1          25         1          1          0.000009846687  0.000009846687  1.00       100.00    %
70         MPISG           2     32         1          25         2          1          0.000023531914  0.000009846687  0.42       20.92     %
71         MPISG           2     32         1          25         4          1          0.000079560280  0.000009846687  0.12       3.09      %
72         MPISG           2     32         1          25         8          1          0.000173521042  0.000009846687  0.06       0.71      %
73         MPISG           2     32         1          25         16         1          0.000421428680  0.000009846687  0.02       0.15      %
74         MPISG           2     64         1          25         1          1          0.000030732155  0.000030732155  1.00       100.00    %
75         MPISG           2     64         1          25         2          1          0.000056982040  0.000030732155  0.54       26.97     %
76         MPISG           2     64         1          25         4          1          0.000184774399  0.000030732155  0.17       4.16      %
77         MPISG           2     64         1          25         8          1          0.000478625298  0.000030732155  0.06       0.80      %
78         MPISG           2     64         1          25         16         1          0.001623821259  0.000030732155  0.02       0.12      %
79         MPISG           2     128        1          25         1          1          0.000130748749  0.000130748749  1.00       100.00    %
80         MPISG           2     128        1          25         2          1          0.000207710266  0.000130748749  0.63       31.47     %
81         MPISG           2     128        1          25         4          1          0.000556278229  0.000130748749  0.24       5.88      %
82         MPISG           2     128        1          25         8          1          0.001426482201  0.000130748749  0.09       1.15      %
83         MPISG           2     128        1          25         16         1          0.005190420151  0.000130748749  0.03       0.16      %
84         MPISG           2     256        1          25         1          1          0.000555777550  0.000555777550  1.00       100.00    %
85         MPISG           2     256        1          25         2          1          0.000772714615  0.000555777550  0.72       35.96     %
86         MPISG           2     256        1          25         4          1          0.001703906059  0.000555777550  0.33       8.15      %
87         MPISG           2     256        1          25         8          1          0.004143047333  0.000555777550  0.13       1.68      %
88         MPISG           2     256        1          25         16         1          0.012770700455  0.000555777550  0.04       0.27      %
89         MPISG           2     512        1          25         1          1          0.002395653725  0.002395653725  1.00       100.00    %
90         MPISG           2     512        1          25         2          1          0.003355264664  0.002395653725  0.71       35.70     %
91         MPISG           2     512        1          25         4          1          0.006064438820  0.002395653725  0.40       9.88      %
92         MPISG           2     512        1          25         8          1          0.013245916367  0.002395653725  0.18       2.26      %
93         MPISG           2     512        1          25         16         1          0.034950637817  0.002395653725  0.07       0.43      %
94         MPISG           2     1024       1          25         1          1          0.010804677010  0.010804677010  1.00       100.00    %
95         MPISG           2     1024       1          25         2          1          0.014821934700  0.010804677010  0.73       36.45     %
96         MPISG           2     1024       1          25         4          1          0.024595904350  0.010804677010  0.44       10.98     %
97         MPISG           2     1024       1          25         8          1          0.056634402275  0.010804677010  0.19       2.38      %
98         MPISG           2     1024       1          25         16         1          0.126529788971  0.010804677010  0.09       0.53      %
99         MPIBLOCKOPT     4     16         1          25         1          0          0.000013947487  0.000013947487  1.00       100.00    %
100        MPIBLOCKOPT     4     16         1          25         4          0          0.000064039230  0.000013947487  0.22       5.44      %
101        MPIBLOCKOPT     4     16         1          25         16         0          0.000146508217  0.000013947487  0.10       0.59      %
102        MPIBLOCKOPT     4     16         1          25         32         0          0.000152802467  0.000013947487  0.09       0.29      %
103        MPIBLOCKOPT     4     16         1          25         64         0          0.000135326385  0.000013947487  0.10       0.16      %
