N°        Compile         Mode  Dimension  Test_Mode  Samples    N Procs    Scaling    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
2          MPISG           2     16         1          25         1          0          0.000005507469  0.000005507469  1.00       100.00    %
9          MPISG           2     32         1          25         1          0          0.000007867813  0.000007867813  1.00       100.00    %
16         MPISG           2     64         1          25         1          0          0.000026535988  0.000026535988  1.00       100.00    %
23         MPISG           2     128        1          25         1          0          0.000120711327  0.000120711327  1.00       100.00    %
30         MPISG           2     256        1          25         1          0          0.000536537170  0.000536537170  1.00       100.00    %
37         MPISG           2     512        1          25         1          0          0.002817034721  0.002817034721  1.00       100.00    %
44         MPISG           2     1024       1          25         1          0          0.015058350563  0.015058350563  1.00       100.00    %
51         MPISG           2     2048       1          25         1          0          0.070019650459  0.070019650459  1.00       100.00    %
58         MPISG           2     4096       1          25         1          0          0.258987569809  0.258987569809  1.00       100.00    %
65         MPISG           2     16         1          25         1          1          0.000013899803  0.000013899803  1.00       100.00    %
70         MPISG           2     32         1          25         1          1          0.000007534027  0.000007534027  1.00       100.00    %
75         MPISG           2     64         1          25         1          1          0.000024414063  0.000024414063  1.00       100.00    %
80         MPISG           2     128        1          25         1          1          0.000107455254  0.000107455254  1.00       100.00    %
85         MPISG           2     256        1          25         1          1          0.000461173058  0.000461173058  1.00       100.00    %
90         MPISG           2     512        1          25         1          1          0.002324151993  0.002324151993  1.00       100.00    %
95         MPISG           2     1024       1          25         1          1          0.011602187157  0.011602187157  1.00       100.00    %
100        MPISG           2     2048       1          25         1          1          0.059413242340  0.059413242340  1.00       100.00    %
104        MPISG           2     4096       1          25         1          1          0.272669911385  0.272669911385  1.00       100.00    %
107        MPIBLOCKOPT     4     16         1          25         1          0          0.000010776520  0.000010776520  1.00       100.00    %
112        MPIBLOCKOPT     4     32         1          25         1          0          0.000015139580  0.000015139580  1.00       100.00    %
115        MPIBLOCKOPT     4     64         1          25         1          0          0.000035047531  0.000035047531  1.00       100.00    %
119        MPIBLOCKOPT     4     128        1          25         1          0          0.000138807297  0.000138807297  1.00       100.00    %
123        MPIBLOCKOPT     4     256        1          25         1          0          0.000616359711  0.000616359711  1.00       100.00    %
127        MPIBLOCKOPT     4     512        1          25         1          0          0.003382635117  0.003382635117  1.00       100.00    %
131        MPIBLOCKOPT     4     1024       1          25         1          0          0.020084524155  0.020084524155  1.00       100.00    %
135        MPIBLOCKOPT     4     2048       1          25         1          0          0.085836529732  0.085836529732  1.00       100.00    %
139        MPIBLOCKOPT     4     4096       1          25         1          0          0.311571478844  0.311571478844  1.00       100.00    %
143        MPIBLOCKOPT     4     16         1          25         1          1          0.000012421608  0.000012421608  1.00       100.00    %
146        MPIBLOCKOPT     4     32         1          25         1          1          0.000020599365  0.000020599365  1.00       100.00    %
149        MPIBLOCKOPT     4     64         1          25         1          1          0.000038504601  0.000038504601  1.00       100.00    %
152        MPIBLOCKOPT     4     128        1          25         1          1          0.000160074234  0.000160074234  1.00       100.00    %
155        MPIBLOCKOPT     4     256        1          25         1          1          0.000547671318  0.000547671318  1.00       100.00    %
158        MPIBLOCKOPT     4     512        1          25         1          1          0.002682375908  0.002682375908  1.00       100.00    %
161        MPIBLOCKOPT     4     1024       1          25         1          1          0.012212491035  0.012212491035  1.00       100.00    %
164        MPIBLOCKOPT     4     2048       1          25         1          1          0.062333226204  0.062333226204  1.00       100.00    %
166        MPIBLOCKOPT     4     4096       1          25         1          1          0.342864179611  0.342864179611  1.00       100.00    %
