N°        Compile         Mode  Dimension  Test_Mode  Samples    N Procs    Scaling    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
3          MPISG           2     16         1          25         2          0          0.000018334389  0.000005507469  0.30       15.02     %
4          MPISG           2     16         1          25         4          0          0.000044417381  0.000005507469  0.12       3.10      %
5          MPISG           2     16         1          25         8          0          0.000089859962  0.000005507469  0.06       0.77      %
6          MPISG           2     16         1          25         16         0          0.000196194649  0.000005507469  0.03       0.18      %
7          MPISG           2     16         1          25         32         0          0.000180459023  0.000005507469  0.03       0.10      %
8          MPISG           2     16         1          25         64         0          0.000203394890  0.000005507469  0.03       0.04      %
10         MPISG           2     32         1          25         2          0          0.000027346611  0.000007867813  0.29       14.39     %
11         MPISG           2     32         1          25         4          0          0.000071692467  0.000007867813  0.11       2.74      %
12         MPISG           2     32         1          25         8          0          0.000150799751  0.000007867813  0.05       0.65      %
13         MPISG           2     32         1          25         16         0          0.000365400314  0.000007867813  0.02       0.13      %
14         MPISG           2     32         1          25         32         0          0.000450181961  0.000007867813  0.02       0.05      %
15         MPISG           2     32         1          25         64         0          0.000446319580  0.000007867813  0.02       0.03      %
17         MPISG           2     64         1          25         2          0          0.000056076050  0.000026535988  0.47       23.66     %
18         MPISG           2     64         1          25         4          0          0.000137186050  0.000026535988  0.19       4.84      %
19         MPISG           2     64         1          25         8          0          0.000336718559  0.000026535988  0.08       0.99      %
20         MPISG           2     64         1          25         16         0          0.000810790062  0.000026535988  0.03       0.20      %
21         MPISG           2     64         1          25         32         0          0.000909996033  0.000026535988  0.03       0.09      %
22         MPISG           2     64         1          25         64         0          0.001857686043  0.000026535988  0.01       0.02      %
24         MPISG           2     128        1          25         2          0          0.000125551224  0.000120711327  0.96       48.07     %
25         MPISG           2     128        1          25         4          0          0.000349116325  0.000120711327  0.35       8.64      %
26         MPISG           2     128        1          25         8          0          0.000790810585  0.000120711327  0.15       1.91      %
27         MPISG           2     128        1          25         16         0          0.002369236946  0.000120711327  0.05       0.32      %
28         MPISG           2     128        1          25         32         0          0.001948523521  0.000120711327  0.06       0.19      %
29         MPISG           2     128        1          25         64         0          0.003734946251  0.000120711327  0.03       0.05      %
31         MPISG           2     256        1          25         2          0          0.000487780571  0.000536537170  1.10       55.00     %
32         MPISG           2     256        1          25         4          0          0.000889778137  0.000536537170  0.60       15.08     %
33         MPISG           2     256        1          25         8          0          0.002060317993  0.000536537170  0.26       3.26      %
34         MPISG           2     256        1          25         16         0          0.006918954849  0.000536537170  0.08       0.48      %
35         MPISG           2     256        1          25         32         0          0.003709769249  0.000536537170  0.14       0.45      %
36         MPISG           2     256        1          25         64         0          0.006808638573  0.000536537170  0.08       0.12      %
38         MPISG           2     512        1          25         2          0          0.001929068565  0.002817034721  1.46       73.02     %
39         MPISG           2     512        1          25         4          0          0.002376770973  0.002817034721  1.19       29.63     %
40         MPISG           2     512        1          25         8          0          0.005107283592  0.002817034721  0.55       6.89      %
41         MPISG           2     512        1          25         16         0          0.017659592628  0.002817034721  0.16       1.00      %
42         MPISG           2     512        1          25         32         0          0.007432937622  0.002817034721  0.38       1.18      %
43         MPISG           2     512        1          25         64         0          0.014077067375  0.002817034721  0.20       0.31      %
45         MPISG           2     1024       1          25         2          0          0.008869218826  0.015058350563  1.70       84.89     %
46         MPISG           2     1024       1          25         4          0          0.007966876030  0.015058350563  1.89       47.25     %
47         MPISG           2     1024       1          25         8          0          0.012982130051  0.015058350563  1.16       14.50     %
48         MPISG           2     1024       1          25         16         0          0.039590883255  0.015058350563  0.38       2.38      %
49         MPISG           2     1024       1          25         32         0          0.018796420097  0.015058350563  0.80       2.50      %
50         MPISG           2     1024       1          25         64         0          0.032748675346  0.015058350563  0.46       0.72      %
52         MPISG           2     2048       1          25         2          0          0.041126132011  0.070019650459  1.70       85.13     %
53         MPISG           2     2048       1          25         4          0          0.033846616745  0.070019650459  2.07       51.72     %
54         MPISG           2     2048       1          25         8          0          0.039495897293  0.070019650459  1.77       22.16     %
55         MPISG           2     2048       1          25         16         0          0.097025609016  0.070019650459  0.72       4.51      %
56         MPISG           2     2048       1          25         32         0          0.043417906761  0.070019650459  1.61       5.04      %
57         MPISG           2     2048       1          25         64         0          0.073690128326  0.070019650459  0.95       1.48      %
59         MPISG           2     4096       1          25         2          0          0.201211428642  0.258987569809  1.29       64.36     %
60         MPISG           2     4096       1          25         4          0          0.188054800034  0.258987569809  1.38       34.43     %
61         MPISG           2     4096       1          25         8          0          0.156762647629  0.258987569809  1.65       20.65     %
62         MPISG           2     4096       1          25         16         0          0.261945915222  0.258987569809  0.99       6.18      %
63         MPISG           2     4096       1          25         32         0          0.176549434662  0.258987569809  1.47       4.58      %
64         MPISG           2     4096       1          25         64         0          0.199672269821  0.258987569809  1.30       2.03      %
66         MPISG           2     16         1          25         2          1          0.000054883957  0.000013899803  0.25       12.66     %
67         MPISG           2     16         1          25         4          1          0.000137925148  0.000013899803  0.10       2.52      %
68         MPISG           2     16         1          25         8          1          0.000772428513  0.000013899803  0.02       0.22      %
69         MPISG           2     16         1          25         16         1          0.006857252121  0.000013899803  0.00       0.01      %
71         MPISG           2     32         1          25         2          1          0.000048875809  0.000007534027  0.15       7.71      %
72         MPISG           2     32         1          25         4          1          0.000317668915  0.000007534027  0.02       0.59      %
73         MPISG           2     32         1          25         8          1          0.001970338821  0.000007534027  0.00       0.05      %
74         MPISG           2     32         1          25         16         1          0.018125438690  0.000007534027  0.00       0.00      %
76         MPISG           2     64         1          25         2          1          0.000121140480  0.000024414063  0.20       10.08     %
77         MPISG           2     64         1          25         4          1          0.000752711296  0.000024414063  0.03       0.81      %
78         MPISG           2     64         1          25         8          1          0.005192732811  0.000024414063  0.00       0.06      %
79         MPISG           2     64         1          25         16         1          0.040344667435  0.000024414063  0.00       0.00      %
81         MPISG           2     128        1          25         2          1          0.000475096703  0.000107455254  0.23       11.31     %
82         MPISG           2     128        1          25         4          1          0.002514219284  0.000107455254  0.04       1.07      %
83         MPISG           2     128        1          25         8          1          0.013011074066  0.000107455254  0.01       0.10      %
84         MPISG           2     128        1          25         16         1          0.096617770195  0.000107455254  0.00       0.01      %
86         MPISG           2     256        1          25         2          1          0.001926708221  0.000461173058  0.24       11.97     %
87         MPISG           2     256        1          25         4          1          0.008345746994  0.000461173058  0.06       1.38      %
88         MPISG           2     256        1          25         8          1          0.041583418846  0.000461173058  0.01       0.14      %
89         MPISG           2     256        1          25         16         1          0.273737907410  0.000461173058  0.00       0.01      %
91         MPISG           2     512        1          25         2          1          0.007878088951  0.002324151993  0.30       14.75     %
92         MPISG           2     512        1          25         4          1          0.031157302856  0.002324151993  0.07       1.86      %
93         MPISG           2     512        1          25         8          1          0.167572569847  0.002324151993  0.01       0.17      %
94         MPISG           2     512        1          25         16         1          0.881250333786  0.002324151993  0.00       0.02      %
96         MPISG           2     1024       1          25         2          1          0.039080333710  0.011602187157  0.30       14.84     %
97         MPISG           2     1024       1          25         4          1          0.183278131485  0.011602187157  0.06       1.58      %
98         MPISG           2     1024       1          25         8          1          0.668252897263  0.011602187157  0.02       0.22      %
99         MPISG           2     1024       1          25         16         1          4.700326442719  0.011602187157  0.00       0.02      %
101        MPISG           2     2048       1          25         2          1          0.173002576828  0.059413242340  0.34       17.17     %
102        MPISG           2     2048       1          25         4          1          0.619680976868  0.059413242340  0.10       2.40      %
103        MPISG           2     2048       1          25         8          1          2.585891938210  0.059413242340  0.02       0.29      %
105        MPISG           2     4096       1          25         2          1          0.838373041153  0.272669911385  0.33       16.26     %
106        MPISG           2     4096       1          25         4          1          2.632621812820  0.272669911385  0.10       2.59      %
