N°        Compile         Mode  Dimension  Test_Mode  Samples    N Procs    Scaling    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
152        MPIBLOCKOPT     4     128        1          25         4          1          0.003174757957  0.000160074234  0.05       1.26      %
153        MPIBLOCKOPT     4     128        1          25         16         1          0.052918553352  0.000160074234  0.00       0.02      %
154        MPIBLOCKOPT     4     256        1          25         1          1          0.000547671318  0.000547671318  1.00       100.00    %
155        MPIBLOCKOPT     4     256        1          25         4          1          0.011422371864  0.000547671318  0.05       1.20      %
156        MPIBLOCKOPT     4     256        1          25         16         1          0.229437637329  0.000547671318  0.00       0.01      %
157        MPIBLOCKOPT     4     512        1          25         1          1          0.002682375908  0.002682375908  1.00       100.00    %
158        MPIBLOCKOPT     4     512        1          25         4          1          0.037888360023  0.002682375908  0.07       1.77      %
159        MPIBLOCKOPT     4     512        1          25         16         1          0.924471044540  0.002682375908  0.00       0.02      %
160        MPIBLOCKOPT     4     1024       1          25         1          1          0.012212491035  0.012212491035  1.00       100.00    %
161        MPIBLOCKOPT     4     1024       1          25         4          1          0.186802220345  0.012212491035  0.07       1.63      %
162        MPIBLOCKOPT     4     1024       1          25         16         1          3.312399101257  0.012212491035  0.00       0.02      %
163        MPIBLOCKOPT     4     2048       1          25         1          1          0.062333226204  0.062333226204  1.00       100.00    %
164        MPIBLOCKOPT     4     2048       1          25         4          1          0.736422252655  0.062333226204  0.08       2.12      %
165        MPIBLOCKOPT     4     4096       1          25         1          1          0.342864179611  0.342864179611  1.00       100.00    %
166        MPIBLOCKOPT     4     4096       1          25         4          1          3.125140118599  0.342864179611  0.11       2.74      %
