N°        Compile         Mode  Dimension  Test_Mode  Samples    N Procs    Scaling    Time(s)        
2          MPISG           2     16         1          25         0          1          0.000026941299 
3          MPISG           2     16         1          25         0          1          0.000014543533 
4          MPISG           2     16         1          25         0          1          0.000010251999 
5          MPISG           2     16         1          25         0          1          0.000005483627 
6          MPISG           2     16         1          25         0          1          0.000005245209 
7          MPISG           2     16         1          25         0          1          0.000005245209 
8          MPISG           2     16         1          25         0          1          0.000016450882 
9          MPISG           2     16         1          25         0          1          0.000007867813 
10         MPISG           2     16         1          25         0          1          0.000005006790 
11         MPISG           2     16         1          25         0          1          0.000004768372 
12         MPISG           2     16         1          25         0          1          0.000005483627 
13         MPISG           2     16         1          25         0          1          0.000004529953 
14         MPISG           2     16         1          25         0          1          0.000007152557 
15         MPISG           2     16         1          25         0          1          0.000008106232 
16         MPISG           2     16         1          25         0          1          0.000005960464 
17         MPISG           2     16         1          25         0          1          0.000005006790 
18         MPISG           2     16         1          25         0          1          0.000005960464 
19         MPISG           2     16         1          25         0          1          0.000005245209 
20         MPISG           2     16         1          25         0          1          0.000005483627 
21         MPISG           2     16         1          25         0          1          0.000006437302 
22         MPISG           2     16         1          25         0          1          0.000004768372 
23         MPISG           2     16         1          25         0          1          0.000005722046 
24         MPISG           2     16         1          25         0          1          0.000004768372 
25         MPISG           2     16         1          25         0          1          0.000005245209 
26         MPISG           2     16         1          25         0          1          0.000005006790 
177        MPISG           2     32         1          25         0          1          0.000028371811 
178        MPISG           2     32         1          25         0          1          0.000009536743 
179        MPISG           2     32         1          25         0          1          0.000008106232 
180        MPISG           2     32         1          25         0          1          0.000007390976 
181        MPISG           2     32         1          25         0          1          0.000007390976 
182        MPISG           2     32         1          25         0          1          0.000007629395 
183        MPISG           2     32         1          25         0          1          0.000007629395 
184        MPISG           2     32         1          25         0          1          0.000007629395 
185        MPISG           2     32         1          25         0          1          0.000024080276 
186        MPISG           2     32         1          25         0          1          0.000012636185 
187        MPISG           2     32         1          25         0          1          0.000008344650 
188        MPISG           2     32         1          25         0          1          0.000012636185 
189        MPISG           2     32         1          25         0          1          0.000009059906 
190        MPISG           2     32         1          25         0          1          0.000008344650 
191        MPISG           2     32         1          25         0          1          0.000007867813 
192        MPISG           2     32         1          25         0          1          0.000007629395 
193        MPISG           2     32         1          25         0          1          0.000008106232 
194        MPISG           2     32         1          25         0          1          0.000008583069 
195        MPISG           2     32         1          25         0          1          0.000007390976 
196        MPISG           2     32         1          25         0          1          0.000007390976 
197        MPISG           2     32         1          25         0          1          0.000008344650 
198        MPISG           2     32         1          25         0          1          0.000007390976 
199        MPISG           2     32         1          25         0          1          0.000006675720 
200        MPISG           2     32         1          25         0          1          0.000007152557 
201        MPISG           2     32         1          25         0          1          0.000007390976 
352        MPISG           2     64         1          25         0          1          0.000069141388 
353        MPISG           2     64         1          25         0          1          0.000033378601 
354        MPISG           2     64         1          25         0          1          0.000025987625 
355        MPISG           2     64         1          25         0          1          0.000023603439 
356        MPISG           2     64         1          25         0          1          0.000023603439 
357        MPISG           2     64         1          25         0          1          0.000022649765 
358        MPISG           2     64         1          25         0          1          0.000036954880 
359        MPISG           2     64         1          25         0          1          0.000026941299 
360        MPISG           2     64         1          25         0          1          0.000033855438 
361        MPISG           2     64         1          25         0          1          0.000028848648 
362        MPISG           2     64         1          25         0          1          0.000026226044 
363        MPISG           2     64         1          25         0          1          0.000039815903 
364        MPISG           2     64         1          25         0          1          0.000031709671 
365        MPISG           2     64         1          25         0          1          0.000025749207 
366        MPISG           2     64         1          25         0          1          0.000050306320 
367        MPISG           2     64         1          25         0          1          0.000030279160 
368        MPISG           2     64         1          25         0          1          0.000030994415 
369        MPISG           2     64         1          25         0          1          0.000025749207 
370        MPISG           2     64         1          25         0          1          0.000026226044 
371        MPISG           2     64         1          25         0          1          0.000023126602 
372        MPISG           2     64         1          25         0          1          0.000024318695 
373        MPISG           2     64         1          25         0          1          0.000022649765 
374        MPISG           2     64         1          25         0          1          0.000022411346 
375        MPISG           2     64         1          25         0          1          0.000022411346 
376        MPISG           2     64         1          25         0          1          0.000025033951 
527        MPISG           2     128        1          25         0          1          0.000207662582 
528        MPISG           2     128        1          25         0          1          0.000130414963 
529        MPISG           2     128        1          25         0          1          0.000122547150 
530        MPISG           2     128        1          25         0          1          0.000118732452 
531        MPISG           2     128        1          25         0          1          0.000121831894 
532        MPISG           2     128        1          25         0          1          0.000147342682 
533        MPISG           2     128        1          25         0          1          0.000137090683 
534        MPISG           2     128        1          25         0          1          0.000148534775 
535        MPISG           2     128        1          25         0          1          0.000154018402 
536        MPISG           2     128        1          25         0          1          0.000137329102 
537        MPISG           2     128        1          25         0          1          0.000117540359 
538        MPISG           2     128        1          25         0          1          0.000120878220 
539        MPISG           2     128        1          25         0          1          0.000122070312 
540        MPISG           2     128        1          25         0          1          0.000116109848 
541        MPISG           2     128        1          25         0          1          0.000109434128 
542        MPISG           2     128        1          25         0          1          0.000113725662 
543        MPISG           2     128        1          25         0          1          0.000108003616 
544        MPISG           2     128        1          25         0          1          0.000116348267 
545        MPISG           2     128        1          25         0          1          0.000120639801 
546        MPISG           2     128        1          25         0          1          0.000131368637 
547        MPISG           2     128        1          25         0          1          0.000107526779 
548        MPISG           2     128        1          25         0          1          0.000106573105 
549        MPISG           2     128        1          25         0          1          0.000104427338 
550        MPISG           2     128        1          25         0          1          0.000110626221 
551        MPISG           2     128        1          25         0          1          0.000131368637 
702        MPISG           2     256        1          25         0          1          0.000817298889 
703        MPISG           2     256        1          25         0          1          0.000556945801 
704        MPISG           2     256        1          25         0          1          0.000545501709 
705        MPISG           2     256        1          25         0          1          0.000506877899 
