N°        Compile         Mode  Dimension  Test_Mode  Samples    N Procs    Scaling    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
108        MPIBLOCKOPT     4     16         1          25         4          0          0.000073027611  0.000010776520  0.15       3.69      %
109        MPIBLOCKOPT     4     16         1          25         16         0          0.000144886971  0.000010776520  0.07       0.46      %
110        MPIBLOCKOPT     4     16         1          25         32         0          0.000150728226  0.000010776520  0.07       0.22      %
111        MPIBLOCKOPT     4     16         1          25         64         0          0.000147747993  0.000010776520  0.07       0.11      %
113        MPIBLOCKOPT     4     32         1          25         4          0          0.000116968155  0.000015139580  0.13       3.24      %
114        MPIBLOCKOPT     4     32         1          25         16         0          0.000211310387  0.000015139580  0.07       0.45      %
116        MPIBLOCKOPT     4     64         1          25         4          0          0.000226044655  0.000035047531  0.16       3.88      %
117        MPIBLOCKOPT     4     64         1          25         16         0          0.000412750244  0.000035047531  0.08       0.53      %
118        MPIBLOCKOPT     4     64         1          25         64         0          0.000565767288  0.000035047531  0.06       0.10      %
120        MPIBLOCKOPT     4     128        1          25         4          0          0.000490975380  0.000138807297  0.28       7.07      %
121        MPIBLOCKOPT     4     128        1          25         16         0          0.000846695900  0.000138807297  0.16       1.02      %
122        MPIBLOCKOPT     4     128        1          25         64         0          0.001303243637  0.000138807297  0.11       0.17      %
124        MPIBLOCKOPT     4     256        1          25         4          0          0.001194787025  0.000616359711  0.52       12.90     %
125        MPIBLOCKOPT     4     256        1          25         16         0          0.001931571960  0.000616359711  0.32       1.99      %
126        MPIBLOCKOPT     4     256        1          25         64         0          0.002841711044  0.000616359711  0.22       0.34      %
128        MPIBLOCKOPT     4     512        1          25         4          0          0.003462171555  0.003382635117  0.98       24.43     %
129        MPIBLOCKOPT     4     512        1          25         16         0          0.005514359474  0.003382635117  0.61       3.83      %
130        MPIBLOCKOPT     4     512        1          25         64         0          0.005016279221  0.003382635117  0.67       1.05      %
132        MPIBLOCKOPT     4     1024       1          25         4          0          0.011005282402  0.020084524155  1.82       45.62     %
133        MPIBLOCKOPT     4     1024       1          25         16         0          0.017654109001  0.020084524155  1.14       7.11      %
134        MPIBLOCKOPT     4     1024       1          25         64         0          0.016015219688  0.020084524155  1.25       1.96      %
136        MPIBLOCKOPT     4     2048       1          25         4          0          0.036414361000  0.085836529732  2.36       58.93     %
137        MPIBLOCKOPT     4     2048       1          25         16         0          0.053817081451  0.085836529732  1.59       9.97      %
138        MPIBLOCKOPT     4     2048       1          25         64         0          0.048100590706  0.085836529732  1.78       2.79      %
140        MPIBLOCKOPT     4     4096       1          25         4          0          0.192747163773  0.311571478844  1.62       40.41     %
141        MPIBLOCKOPT     4     4096       1          25         16         0          0.240777492523  0.311571478844  1.29       8.09      %
142        MPIBLOCKOPT     4     4096       1          25         64         0          0.141075730324  0.311571478844  2.21       3.45      %
144        MPIBLOCKOPT     4     16         1          25         4          1          0.000232028961  0.000012421608  0.05       1.34      %
145        MPIBLOCKOPT     4     16         1          25         16         1          0.001858806610  0.000012421608  0.01       0.04      %
147        MPIBLOCKOPT     4     32         1          25         4          1          0.000514888763  0.000020599365  0.04       1.00      %
148        MPIBLOCKOPT     4     32         1          25         16         1          0.005746579170  0.000020599365  0.00       0.02      %
150        MPIBLOCKOPT     4     64         1          25         4          1          0.001043295860  0.000038504601  0.04       0.92      %
151        MPIBLOCKOPT     4     64         1          25         16         1          0.017497944832  0.000038504601  0.00       0.01      %
153        MPIBLOCKOPT     4     128        1          25         4          1          0.003174757957  0.000160074234  0.05       1.26      %
154        MPIBLOCKOPT     4     128        1          25         16         1          0.052918553352  0.000160074234  0.00       0.02      %
156        MPIBLOCKOPT     4     256        1          25         4          1          0.011422371864  0.000547671318  0.05       1.20      %
157        MPIBLOCKOPT     4     256        1          25         16         1          0.229437637329  0.000547671318  0.00       0.01      %
159        MPIBLOCKOPT     4     512        1          25         4          1          0.037888360023  0.002682375908  0.07       1.77      %
160        MPIBLOCKOPT     4     512        1          25         16         1          0.924471044540  0.002682375908  0.00       0.02      %
162        MPIBLOCKOPT     4     1024       1          25         4          1          0.186802220345  0.012212491035  0.07       1.63      %
163        MPIBLOCKOPT     4     1024       1          25         16         1          3.312399101257  0.012212491035  0.00       0.02      %
165        MPIBLOCKOPT     4     2048       1          25         4          1          0.736422252655  0.062333226204  0.08       2.12      %
167        MPIBLOCKOPT     4     4096       1          25         4          1          3.125140118599  0.342864179611  0.11       2.74      %
