N°        Compile         Mode  Dimension  Test_Mode  Samples    N Procs    Scaling    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
1          MPISG           2     16         1          25         1          0          0.000006699562  0.000006699562  1.00       100.00    %
2          MPISG           2     16         1          25         2          0          0.000016164780  0.000006699562  0.41       20.72     %
3          MPISG           2     16         1          25         4          0          0.000037837029  0.000006699562  0.18       4.43      %
4          MPISG           2     16         1          25         8          0          0.000078582764  0.000006699562  0.09       1.07      %
5          MPISG           2     16         1          25         16         0          0.000161862373  0.000006699562  0.04       0.26      %
6          MPISG           2     16         1          25         32         0          0.000162529945  0.000006699562  0.04       0.13      %
7          MPISG           2     16         1          25         64         0          0.000173306465  0.000006699562  0.04       0.06      %
8          MPISG           2     32         1          25         1          0          0.000013041496  0.000013041496  1.00       100.00    %
9          MPISG           2     32         1          25         2          0          0.000024366379  0.000013041496  0.54       26.76     %
10         MPISG           2     32         1          25         4          0          0.000067520142  0.000013041496  0.19       4.83      %
11         MPISG           2     32         1          25         8          0          0.000143837929  0.000013041496  0.09       1.13      %
12         MPISG           2     32         1          25         16         0          0.000336885452  0.000013041496  0.04       0.24      %
13         MPISG           2     32         1          25         32         0          0.000411677361  0.000013041496  0.03       0.10      %
14         MPISG           2     32         1          25         64         0          0.000390815735  0.000013041496  0.03       0.05      %
15         MPISG           2     64         1          25         1          0          0.000029850006  0.000029850006  1.00       100.00    %
16         MPISG           2     64         1          25         2          0          0.000053215027  0.000029850006  0.56       28.05     %
17         MPISG           2     64         1          25         4          0          0.000121712685  0.000029850006  0.25       6.13      %
18         MPISG           2     64         1          25         8          0          0.000284910202  0.000029850006  0.10       1.31      %
19         MPISG           2     64         1          25         16         0          0.000734853745  0.000029850006  0.04       0.25      %
20         MPISG           2     64         1          25         32         0          0.000774097443  0.000029850006  0.04       0.12      %
21         MPISG           2     64         1          25         64         0          0.001655435562  0.000029850006  0.02       0.03      %
22         MPISG           2     128        1          25         1          0          0.000105142593  0.000105142593  1.00       100.00    %
23         MPISG           2     128        1          25         2          0          0.000118422508  0.000105142593  0.89       44.39     %
24         MPISG           2     128        1          25         4          0          0.000304365158  0.000105142593  0.35       8.64      %
25         MPISG           2     128        1          25         8          0          0.000777530670  0.000105142593  0.14       1.69      %
26         MPISG           2     128        1          25         16         0          0.002218937874  0.000105142593  0.05       0.30      %
27         MPISG           2     128        1          25         32         0          0.001454234123  0.000105142593  0.07       0.23      %
