N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
66         MPIBLOCKOPT 4     16         1          25         4          0.000074648857  -               -          -         %
67         MPIBLOCKOPT 4     16         1          25         16         0.000183606148  -               -          -         %
68         MPIBLOCKOPT 4     16         1          25         32         0.000184607506  -               -          -         %
69         MPIBLOCKOPT 4     16         1          25         64         0.000208449364  -               -          -         %
71         MPIBLOCKOPT 4     32         1          25         4          0.000100564957  -               -          -         %
72         MPIBLOCKOPT 4     32         1          25         16         0.000281357765  -               -          -         %
74         MPIBLOCKOPT 4     64         1          25         4          0.000201296806  -               -          -         %
75         MPIBLOCKOPT 4     64         1          25         16         0.000466442108  -               -          -         %
76         MPIBLOCKOPT 4     64         1          25         64         0.000794315338  -               -          -         %
78         MPIBLOCKOPT 4     128        1          25         4          0.000578427315  -               -          -         %
79         MPIBLOCKOPT 4     128        1          25         16         0.000972580910  -               -          -         %
80         MPIBLOCKOPT 4     128        1          25         64         0.001371312141  -               -          -         %
82         MPIBLOCKOPT 4     256        1          25         4          0.001456832886  -               -          -         %
83         MPIBLOCKOPT 4     256        1          25         16         0.002310132980  -               -          -         %
84         MPIBLOCKOPT 4     256        1          25         64         0.003008413315  -               -          -         %
86         MPIBLOCKOPT 4     512        1          25         4          0.003425669670  -               -          -         %
87         MPIBLOCKOPT 4     512        1          25         16         0.006443095207  -               -          -         %
88         MPIBLOCKOPT 4     512        1          25         64         0.006457924843  -               -          -         %
90         MPIBLOCKOPT 4     1024       1          25         4          0.012525868416  -               -          -         %
91         MPIBLOCKOPT 4     1024       1          25         16         0.020019650459  -               -          -         %
92         MPIBLOCKOPT 4     1024       1          25         64         0.013851928711  -               -          -         %
94         MPIBLOCKOPT 4     2048       1          25         4          0.032852625847  -               -          -         %
95         MPIBLOCKOPT 4     2048       1          25         16         0.054962420464  -               -          -         %
96         MPIBLOCKOPT 4     2048       1          25         64         0.047119069099  -               -          -         %
98         MPIBLOCKOPT 4     4096       1          25         4          0.203531384468  -               -          -         %
99         MPIBLOCKOPT 4     4096       1          25         16         0.268115973473  -               -          -         %
100        MPIBLOCKOPT 4     4096       1          25         64         0.153560543060  -               -          -         %
