N°        Compile         Mode  Dimension  Test_Mode  Samples    N Procs    Scaling    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
1          MPISG           2     16         1          25         1          0          0.000006890297  0.000006890297  1.00       100.00    %
2          MPISG           2     16         1          25         2          0          0.000017285347  0.000006890297  0.40       19.93     %
3          MPISG           2     16         1          25         4          0          0.000041460991  0.000006890297  0.17       4.15      %
4          MPISG           2     16         1          25         8          0          0.000079274178  0.000006890297  0.09       1.09      %
5          MPISG           2     16         1          25         16         0          0.000168991089  0.000006890297  0.04       0.25      %
6          MPISG           2     16         1          25         32         0          0.000171923637  0.000006890297  0.04       0.13      %
7          MPISG           2     16         1          25         64         0          0.000176286697  0.000006890297  0.04       0.06      %
8          MPISG           2     32         1          25         1          0          0.000010323524  0.000010323524  1.00       100.00    %
9          MPISG           2     32         1          25         2          0          0.000025725365  0.000010323524  0.40       20.06     %
10         MPISG           2     32         1          25         4          0          0.000065588951  0.000010323524  0.16       3.93      %
11         MPISG           2     32         1          25         8          0          0.000154995918  0.000010323524  0.07       0.83      %
12         MPISG           2     32         1          25         16         0          0.000370407104  0.000010323524  0.03       0.17      %
13         MPISG           2     32         1          25         32         0          0.000382328033  0.000010323524  0.03       0.08      %
14         MPISG           2     32         1          25         64         0          0.000413489342  0.000010323524  0.02       0.04      %
15         MPISG           2     64         1          25         1          0          0.000031185150  0.000031185150  1.00       100.00    %
16         MPISG           2     64         1          25         2          0          0.000046968460  0.000031185150  0.66       33.20     %
17         MPISG           2     64         1          25         4          0          0.000148415565  0.000031185150  0.21       5.25      %
18         MPISG           2     64         1          25         8          0          0.000287246704  0.000031185150  0.11       1.36      %
19         MPISG           2     64         1          25         16         0          0.000777387619  0.000031185150  0.04       0.25      %
20         MPISG           2     64         1          25         32         0          0.000719189644  0.000031185150  0.04       0.14      %
21         MPISG           2     64         1          25         64         0          0.001587224007  0.000031185150  0.02       0.03      %
22         MPISG           2     128        1          25         1          0          0.000127840042  0.000127840042  1.00       100.00    %
23         MPISG           2     128        1          25         2          0          0.000128507614  0.000127840042  0.99       49.74     %
24         MPISG           2     128        1          25         4          0          0.000350737572  0.000127840042  0.36       9.11      %
25         MPISG           2     128        1          25         8          0          0.000787615776  0.000127840042  0.16       2.03      %
26         MPISG           2     128        1          25         16         0          0.002435326576  0.000127840042  0.05       0.33      %
27         MPISG           2     128        1          25         32         0          0.001459527016  0.000127840042  0.09       0.27      %
28         MPISG           2     128        1          25         64         0          0.003141450882  0.000127840042  0.04       0.06      %
29         MPISG           2     256        1          25         1          0          0.000532317162  0.000532317162  1.00       100.00    %
30         MPISG           2     256        1          25         2          0          0.000475430489  0.000532317162  1.12       55.98     %
31         MPISG           2     256        1          25         4          0          0.000846099854  0.000532317162  0.63       15.73     %
32         MPISG           2     256        1          25         8          0          0.002162790298  0.000532317162  0.25       3.08      %
33         MPISG           2     256        1          25         16         0          0.006573867798  0.000532317162  0.08       0.51      %
34         MPISG           2     256        1          25         32         0          0.003107190132  0.000532317162  0.17       0.54      %
35         MPISG           2     256        1          25         64         0          0.006578016281  0.000532317162  0.08       0.13      %
36         MPISG           2     512        1          25         1          0          0.002335214615  0.002335214615  1.00       100.00    %
37         MPISG           2     512        1          25         2          0          0.001722216606  0.002335214615  1.36       67.80     %
38         MPISG           2     512        1          25         4          0          0.002184891701  0.002335214615  1.07       26.72     %
