N°        Compile         Mode  Dimension  Test_Mode  Samples    N Procs    Scaling    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
101        MPIBLOCKOPT     4     16         1          25         4          0          0.000066566467  0.000013828278  0.21       5.19      %
102        MPIBLOCKOPT     4     16         1          25         16         0          0.000164151192  0.000013828278  0.08       0.53      %
103        MPIBLOCKOPT     4     16         1          25         32         0          0.000165629387  0.000013828278  0.08       0.26      %
104        MPIBLOCKOPT     4     16         1          25         64         0          0.000147318840  0.000013828278  0.09       0.15      %
106        MPIBLOCKOPT     4     32         1          25         4          0          0.000113320351  0.000022864342  0.20       5.04      %
107        MPIBLOCKOPT     4     32         1          25         16         0          0.000182533264  0.000022864342  0.13       0.78      %
109        MPIBLOCKOPT     4     64         1          25         4          0          0.000224065781  0.000049042702  0.22       5.47      %
110        MPIBLOCKOPT     4     64         1          25         16         0          0.000358152390  0.000049042702  0.14       0.86      %
111        MPIBLOCKOPT     4     64         1          25         64         0          0.000467228889  0.000049042702  0.10       0.16      %
113        MPIBLOCKOPT     4     128        1          25         4          0          0.000484228134  0.000173258781  0.36       8.95      %
114        MPIBLOCKOPT     4     128        1          25         16         0          0.000722193718  0.000173258781  0.24       1.50      %
115        MPIBLOCKOPT     4     128        1          25         64         0          0.001152992249  0.000173258781  0.15       0.23      %
117        MPIBLOCKOPT     4     256        1          25         4          0          0.001151990891  0.000693726540  0.60       15.05     %
118        MPIBLOCKOPT     4     256        1          25         16         0          0.001585769653  0.000693726540  0.44       2.73      %
119        MPIBLOCKOPT     4     256        1          25         64         0          0.002192592621  0.000693726540  0.32       0.49      %
121        MPIBLOCKOPT     4     512        1          25         4          0          0.003114771843  0.002997303009  0.96       24.06     %
122        MPIBLOCKOPT     4     512        1          25         16         0          0.005142664909  0.002997303009  0.58       3.64      %
123        MPIBLOCKOPT     4     512        1          25         64         0          0.005384659767  0.002997303009  0.56       0.87      %
125        MPIBLOCKOPT     4     1024       1          25         4          0          0.009494280815  0.012537693977  1.32       33.01     %
126        MPIBLOCKOPT     4     1024       1          25         16         0          0.016183352470  0.012537693977  0.77       4.84      %
127        MPIBLOCKOPT     4     1024       1          25         64         0          0.013100123405  0.012537693977  0.96       1.50      %
129        MPIBLOCKOPT     4     2048       1          25         4          0          0.031888675690  0.058640503883  1.84       45.97     %
130        MPIBLOCKOPT     4     2048       1          25         16         0          0.046873521805  0.058640503883  1.25       7.82      %
131        MPIBLOCKOPT     4     2048       1          25         64         0          0.037640261650  0.058640503883  1.56       2.43      %
133        MPIBLOCKOPT     4     4096       1          25         4          0          0.170647168159  0.263278150558  1.54       38.57     %
134        MPIBLOCKOPT     4     4096       1          25         16         0          0.176959490776  0.263278150558  1.49       9.30      %
135        MPIBLOCKOPT     4     4096       1          25         64         0          0.106768393517  0.263278150558  2.47       3.85      %
137        MPIBLOCKOPT     4     16         1          25         4          1          0.000220823288  0.000013136864  0.06       1.49      %
138        MPIBLOCKOPT     4     16         1          25         16         1          0.001511669159  0.000013136864  0.01       0.05      %
140        MPIBLOCKOPT     4     32         1          25         4          1          0.000482153893  0.000022506714  0.05       1.17      %
141        MPIBLOCKOPT     4     32         1          25         16         1          0.005048203468  0.000022506714  0.00       0.03      %
143        MPIBLOCKOPT     4     64         1          25         4          1          0.001139283180  0.000049114227  0.04       1.08      %
144        MPIBLOCKOPT     4     64         1          25         16         1          0.016272759438  0.000049114227  0.00       0.02      %
146        MPIBLOCKOPT     4     128        1          25         4          1          0.003244495392  0.000172257423  0.05       1.33      %
147        MPIBLOCKOPT     4     128        1          25         16         1          0.046694540977  0.000172257423  0.00       0.02      %
149        MPIBLOCKOPT     4     256        1          25         4          1          0.009365391731  0.000699996948  0.07       1.87      %
150        MPIBLOCKOPT     4     256        1          25         16         1          0.183464074135  0.000699996948  0.00       0.02      %
152        MPIBLOCKOPT     4     512        1          25         4          1          0.030945229530  0.003022384644  0.10       2.44      %
153        MPIBLOCKOPT     4     512        1          25         16         1          0.872666668892  0.003022384644  0.00       0.02      %
155        MPIBLOCKOPT     4     1024       1          25         4          1          0.171377491951  0.012327742577  0.07       1.80      %
156        MPIBLOCKOPT     4     1024       1          25         16         1          3.059337973595  0.012327742577  0.00       0.03      %
