N°        Compile         Mode  Dimension  Test_Mode  Samples    N Procs    Scaling    Time(s)        
117        MPISG           2     16         1          25         0          16         0.000494241714 
118        MPISG           2     16         1          25         0          16         0.000475168228 
119        MPISG           2     16         1          25         0          16         0.000475645065 
120        MPISG           2     16         1          25         0          16         0.000463485718 
121        MPISG           2     16         1          25         0          16         0.000471591949 
122        MPISG           2     16         1          25         0          16         0.000521421432 
123        MPISG           2     16         1          25         0          16         0.000520467758 
124        MPISG           2     16         1          25         0          16         0.000436306000 
125        MPISG           2     16         1          25         0          16         0.000424146652 
126        MPISG           2     16         1          25         0          16         0.002097368240 
127        MPISG           2     16         1          25         0          16         0.000634908676 
128        MPISG           2     16         1          25         0          16         0.000777959824 
129        MPISG           2     16         1          25         0          16         0.001291751862 
130        MPISG           2     16         1          25         0          16         0.000682830811 
131        MPISG           2     16         1          25         0          16         0.000423431396 
132        MPISG           2     16         1          25         0          16         0.000431060791 
133        MPISG           2     16         1          25         0          16         0.000421285629 
134        MPISG           2     16         1          25         0          16         0.000435829163 
135        MPISG           2     16         1          25         0          16         0.000444173813 
136        MPISG           2     16         1          25         0          16         0.000453948975 
137        MPISG           2     16         1          25         0          16         0.000422716141 
138        MPISG           2     16         1          25         0          16         0.000432968140 
139        MPISG           2     16         1          25         0          16         0.000417232513 
140        MPISG           2     16         1          25         0          16         0.000446557999 
141        MPISG           2     16         1          25         0          16         0.000415802002 
142        MPISG           2     16         1          25         0          16         0.000437021255 
143        MPISG           2     16         1          25         0          16         0.000436067581 
144        MPISG           2     16         1          25         0          16         0.000421762466 
145        MPISG           2     16         1          25         0          16         0.000437736511 
146        MPISG           2     16         1          25         0          16         0.000528335571 
147        MPISG           2     16         1          25         0          16         0.000547885895 
148        MPISG           2     16         1          25         0          16         0.000454187393 
149        MPISG           2     16         1          25         0          16         0.000439643860 
150        MPISG           2     16         1          25         0          16         0.000559329987 
151        MPISG           2     16         1          25         0          16         0.001229286194 
152        MPISG           2     16         1          25         0          16         0.001244783401 
153        MPISG           2     16         1          25         0          16         0.000835657120 
154        MPISG           2     16         1          25         0          16         0.001269578934 
155        MPISG           2     16         1          25         0          16         0.000659465790 
156        MPISG           2     16         1          25         0          16         0.000400066376 
157        MPISG           2     16         1          25         0          16         0.000430583954 
158        MPISG           2     16         1          25         0          16         0.000415325165 
159        MPISG           2     16         1          25         0          16         0.000421285629 
160        MPISG           2     16         1          25         0          16         0.000412702560 
161        MPISG           2     16         1          25         0          16         0.000422000885 
162        MPISG           2     16         1          25         0          16         0.000410556793 
163        MPISG           2     16         1          25         0          16         0.000434875488 
164        MPISG           2     16         1          25         0          16         0.000410556793 
165        MPISG           2     16         1          25         0          16         0.000412940979 
166        MPISG           2     16         1          25         0          16         0.000413656235 
167        MPISG           2     16         1          25         0          16         0.000411987305 
168        MPISG           2     16         1          25         0          16         0.000409364700 
169        MPISG           2     16         1          25         0          16         0.000413656235 
170        MPISG           2     16         1          25         0          16         0.000431776047 
171        MPISG           2     16         1          25         0          16         0.000406503677 
172        MPISG           2     16         1          25         0          16         0.000413656235 
173        MPISG           2     16         1          25         0          16         0.000426054001 
174        MPISG           2     16         1          25         0          16         0.000418901443 
175        MPISG           2     16         1          25         0          16         0.000418663025 
176        MPISG           2     32         1          25         0          1          0.000055789948 
177        MPISG           2     32         1          25         0          1          0.000017642975 
178        MPISG           2     32         1          25         0          1          0.000024557114 
179        MPISG           2     32         1          25         0          1          0.000024557114 
180        MPISG           2     32         1          25         0          1          0.000024318695 
181        MPISG           2     32         1          25         0          1          0.000025510788 
182        MPISG           2     32         1          25         0          1          0.000024318695 
183        MPISG           2     32         1          25         0          1          0.000024557114 
184        MPISG           2     32         1          25         0          1          0.000027179718 
