N°        Compile         Mode  Dimension  Test_Mode  Samples    N Procs    Scaling    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
88         MPISG           2     256        1          25         8          1          0.004766678810  0.001352286339  0.28       28.37     %
89         MPISG           2     256        1          25         16         1          0.013922929764  0.001352286339  0.10       9.71      %
91         MPISG           2     512        1          25         2          1          0.004287481308  0.003493642807  0.81       81.48     %
92         MPISG           2     512        1          25         4          1          0.006579136848  0.003493642807  0.53       53.10     %
93         MPISG           2     512        1          25         8          1          0.014990949631  0.003493642807  0.23       23.31     %
94         MPISG           2     512        1          25         16         1          0.038726782799  0.003493642807  0.09       9.02      %
96         MPISG           2     1024       1          25         2          1          0.020662760735  0.016147542000  0.78       78.15     %
97         MPISG           2     1024       1          25         4          1          0.031326603889  0.016147542000  0.52       51.55     %
98         MPISG           2     1024       1          25         8          1          0.069248199463  0.016147542000  0.23       23.32     %
99         MPISG           2     1024       1          25         16         1          0.150385117531  0.016147542000  0.11       10.74     %
