N°        Compile         Mode  Dimension  Test_Mode  Samples    N Procs    Scaling    Time(s)        
718        MPISG           2     256        1          25         0          1          0.001347780228 
719        MPISG           2     256        1          25         0          1          0.001416683197 
720        MPISG           2     256        1          25         0          1          0.001386404037 
721        MPISG           2     256        1          25         0          1          0.001365661621 
722        MPISG           2     256        1          25         0          1          0.001355171204 
723        MPISG           2     256        1          25         0          1          0.001355648041 
724        MPISG           2     256        1          25         0          1          0.001363515854 
725        MPISG           2     256        1          25         0          1          0.001362323761 
726        MPISG           2     256        1          25         0          1          0.001353740692 
877        MPISG           2     512        1          25         0          1          0.003606796265 
878        MPISG           2     512        1          25         0          1          0.003138065338 
879        MPISG           2     512        1          25         0          1          0.003262519836 
880        MPISG           2     512        1          25         0          1          0.004939079285 
881        MPISG           2     512        1          25         0          1          0.004042387009 
882        MPISG           2     512        1          25         0          1          0.004109859467 
883        MPISG           2     512        1          25         0          1          0.003189086914 
884        MPISG           2     512        1          25         0          1          0.003315925598 
885        MPISG           2     512        1          25         0          1          0.003938674927 
886        MPISG           2     512        1          25         0          1          0.004772424698 
887        MPISG           2     512        1          25         0          1          0.004786252975 
888        MPISG           2     512        1          25         0          1          0.005127906799 
889        MPISG           2     512        1          25         0          1          0.003211498260 
890        MPISG           2     512        1          25         0          1          0.003867864609 
891        MPISG           2     512        1          25         0          1          0.003295421600 
892        MPISG           2     512        1          25         0          1          0.006159305573 
893        MPISG           2     512        1          25         0          1          0.005045652390 
894        MPISG           2     512        1          25         0          1          0.003455400467 
895        MPISG           2     512        1          25         0          1          0.004415750504 
896        MPISG           2     512        1          25         0          1          0.003871440887 
897        MPISG           2     512        1          25         0          1          0.004414081573 
898        MPISG           2     512        1          25         0          1          0.003355503082 
899        MPISG           2     512        1          25         0          1          0.004524707794 
900        MPISG           2     512        1          25         0          1          0.004060983658 
901        MPISG           2     512        1          25         0          1          0.003752946854 
1052       MPISG           2     1024       1          25         0          1          0.014786481857 
1053       MPISG           2     1024       1          25         0          1          0.014183044434 
1054       MPISG           2     1024       1          25         0          1          0.014319419861 
1055       MPISG           2     1024       1          25         0          1          0.012952804565 
1056       MPISG           2     1024       1          25         0          1          0.013151407242 
1057       MPISG           2     1024       1          25         0          1          0.012731552124 
1058       MPISG           2     1024       1          25         0          1          0.013112306595 
1059       MPISG           2     1024       1          25         0          1          0.012773036957 
1060       MPISG           2     1024       1          25         0          1          0.013031959534 
1061       MPISG           2     1024       1          25         0          1          0.013816356659 
1062       MPISG           2     1024       1          25         0          1          0.013880729675 
1063       MPISG           2     1024       1          25         0          1          0.013617992401 
1064       MPISG           2     1024       1          25         0          1          0.012055635452 
1065       MPISG           2     1024       1          25         0          1          0.012336492538 
1066       MPISG           2     1024       1          25         0          1          0.013867616653 
1067       MPISG           2     1024       1          25         0          1          0.013958454132 
1068       MPISG           2     1024       1          25         0          1          0.014476537704 
1069       MPISG           2     1024       1          25         0          1          0.014136552811 
1070       MPISG           2     1024       1          25         0          1          0.013981103897 
1071       MPISG           2     1024       1          25         0          1          0.013870477676 
1072       MPISG           2     1024       1          25         0          1          0.014467477798 
1073       MPISG           2     1024       1          25         0          1          0.013820886612 
1074       MPISG           2     1024       1          25         0          1          0.014146089554 
1075       MPISG           2     1024       1          25         0          1          0.012713193893 
1076       MPISG           2     1024       1          25         0          1          0.012708902359 
1227       MPISG           2     2048       1          25         0          1          0.067378759384 
1228       MPISG           2     2048       1          25         0          1          0.067906379700 
1229       MPISG           2     2048       1          25         0          1          0.063033103943 
1230       MPISG           2     2048       1          25         0          1          0.061797142029 
1231       MPISG           2     2048       1          25         0          1          0.062696456909 
1232       MPISG           2     2048       1          25         0          1          0.063346385956 
1233       MPISG           2     2048       1          25         0          1          0.064588546753 
1234       MPISG           2     2048       1          25         0          1          0.065540552139 
1235       MPISG           2     2048       1          25         0          1          0.069475173950 
1236       MPISG           2     2048       1          25         0          1          0.068981170654 
1237       MPISG           2     2048       1          25         0          1          0.069631338120 
1238       MPISG           2     2048       1          25         0          1          0.068692445755 
1239       MPISG           2     2048       1          25         0          1          0.070834875107 
1240       MPISG           2     2048       1          25         0          1          0.070275545120 
1241       MPISG           2     2048       1          25         0          1          0.072294950485 
1242       MPISG           2     2048       1          25         0          1          0.070619821548 
1243       MPISG           2     2048       1          25         0          1          0.070245027542 
1244       MPISG           2     2048       1          25         0          1          0.070946216583 
1245       MPISG           2     2048       1          25         0          1          0.072869539261 
1246       MPISG           2     2048       1          25         0          1          0.070561647415 
1247       MPISG           2     2048       1          25         0          1          0.072022438049 
1248       MPISG           2     2048       1          25         0          1          0.070919275284 
1249       MPISG           2     2048       1          25         0          1          0.056066513062 
1250       MPISG           2     2048       1          25         0          1          0.055960178375 
1251       MPISG           2     2048       1          25         0          1          0.072102069855 
1402       MPISG           2     4096       1          25         0          1          0.312219142914 
1403       MPISG           2     4096       1          25         0          1          0.349804878235 
1404       MPISG           2     4096       1          25         0          1          0.367023706436 
1405       MPISG           2     4096       1          25         0          1          0.345132589340 
1406       MPISG           2     4096       1          25         0          1          0.361639976501 
1407       MPISG           2     4096       1          25         0          1          0.354176998138 
1408       MPISG           2     4096       1          25         0          1          0.348941087723 
1409       MPISG           2     4096       1          25         0          1          0.331679105759 
1410       MPISG           2     4096       1          25         0          1          0.362445831299 
1411       MPISG           2     4096       1          25         0          1          0.335507869720 
1412       MPISG           2     4096       1          25         0          1          0.341116428375 
1413       MPISG           2     4096       1          25         0          1          0.329235792160 
1414       MPISG           2     4096       1          25         0          1          0.341373205185 
1415       MPISG           2     4096       1          25         0          1          0.348765850067 
1416       MPISG           2     4096       1          25         0          1          0.354649782181 
1417       MPISG           2     4096       1          25         0          1          0.349345684052 
1418       MPISG           2     4096       1          25         0          1          0.329180479050 
1419       MPISG           2     4096       1          25         0          1          0.342933893204 
1420       MPISG           2     4096       1          25         0          1          0.345813989639 
1421       MPISG           2     4096       1          25         0          1          0.359154939651 
1422       MPISG           2     4096       1          25         0          1          0.354213953018 
1423       MPISG           2     4096       1          25         0          1          0.355796575546 
1424       MPISG           2     4096       1          25         0          1          0.354709386826 
1425       MPISG           2     4096       1          25         0          1          0.356978416443 
1426       MPISG           2     4096       1          25         0          1          0.342480182648 
1577       MPISG           2     16         1          25         1          1          0.000030755997 
1578       MPISG           2     16         1          25         1          1          0.000015020370 
1579       MPISG           2     16         1          25         1          1          0.000013828278 
1580       MPISG           2     16         1          25         1          1          0.000013351440 
1581       MPISG           2     16         1          25         1          1          0.000012636185 
1582       MPISG           2     16         1          25         1          1          0.000012874603 
1583       MPISG           2     16         1          25         1          1          0.000015258789 
1584       MPISG           2     16         1          25         1          1          0.000012636185 
1585       MPISG           2     16         1          25         1          1          0.000012874603 
1586       MPISG           2     16         1          25         1          1          0.000012397766 
1587       MPISG           2     16         1          25         1          1          0.000015020370 
1588       MPISG           2     16         1          25         1          1          0.000012874603 
1589       MPISG           2     16         1          25         1          1          0.000015497208 
1590       MPISG           2     16         1          25         1          1          0.000014781952 
1591       MPISG           2     16         1          25         1          1          0.000012159348 
1592       MPISG           2     16         1          25         1          1          0.000012397766 
1593       MPISG           2     16         1          25         1          1          0.000015258789 
1594       MPISG           2     16         1          25         1          1          0.000012636185 
1595       MPISG           2     16         1          25         1          1          0.000016689301 
1596       MPISG           2     16         1          25         1          1          0.000021457672 
1597       MPISG           2     16         1          25         1          1          0.000013589859 
1598       MPISG           2     16         1          25         1          1          0.000016212463 
1599       MPISG           2     16         1          25         1          1          0.000012874603 
1600       MPISG           2     16         1          25         1          1          0.000015020370 
1601       MPISG           2     16         1          25         1          1          0.000013828278 
1702       MPISG           2     32         1          25         1          1          0.000060558319 
1703       MPISG           2     32         1          25         1          1          0.000024318695 
1704       MPISG           2     32         1          25         1          1          0.000020742416 
1705       MPISG           2     32         1          25         1          1          0.000028133392 
1706       MPISG           2     32         1          25         1          1          0.000020027161 
1707       MPISG           2     32         1          25         1          1          0.000021934509 
1708       MPISG           2     32         1          25         1          1          0.000020265579 
1709       MPISG           2     32         1          25         1          1          0.000020742416 
1710       MPISG           2     32         1          25         1          1          0.000020265579 
1711       MPISG           2     32         1          25         1          1          0.000020742416 
1712       MPISG           2     32         1          25         1          1          0.000020503998 
1713       MPISG           2     32         1          25         1          1          0.000022411346 
1714       MPISG           2     32         1          25         1          1          0.000020027161 
1715       MPISG           2     32         1          25         1          1          0.000020742416 
1716       MPISG           2     32         1          25         1          1          0.000020027161 
1717       MPISG           2     32         1          25         1          1          0.000020265579 
1718       MPISG           2     32         1          25         1          1          0.000020027161 
1719       MPISG           2     32         1          25         1          1          0.000020980835 
1720       MPISG           2     32         1          25         1          1          0.000020027161 
1721       MPISG           2     32         1          25         1          1          0.000020503998 
1722       MPISG           2     32         1          25         1          1          0.000020980835 
1723       MPISG           2     32         1          25         1          1          0.000021696091 
1724       MPISG           2     32         1          25         1          1          0.000020980835 
1725       MPISG           2     32         1          25         1          1          0.000021696091 
1726       MPISG           2     32         1          25         1          1          0.000020742416 
1827       MPISG           2     64         1          25         1          1          0.000093936920 
1828       MPISG           2     64         1          25         1          1          0.000059843063 
1829       MPISG           2     64         1          25         1          1          0.000068426132 
1830       MPISG           2     64         1          25         1          1          0.000062942505 
1831       MPISG           2     64         1          25         1          1          0.000062704086 
1832       MPISG           2     64         1          25         1          1          0.000063180923 
1833       MPISG           2     64         1          25         1          1          0.000063896179 
1834       MPISG           2     64         1          25         1          1          0.000065565109 
1835       MPISG           2     64         1          25         1          1          0.000075578690 
1836       MPISG           2     64         1          25         1          1          0.000065326691 
1837       MPISG           2     64         1          25         1          1          0.000067949295 
1838       MPISG           2     64         1          25         1          1          0.000066995621 
1839       MPISG           2     64         1          25         1          1          0.000066757202 
1840       MPISG           2     64         1          25         1          1          0.000066280365 
1841       MPISG           2     64         1          25         1          1          0.000070333481 
1842       MPISG           2     64         1          25         1          1          0.000075817108 
1843       MPISG           2     64         1          25         1          1          0.000065565109 
1844       MPISG           2     64         1          25         1          1          0.000065326691 
1845       MPISG           2     64         1          25         1          1          0.000066518784 
1846       MPISG           2     64         1          25         1          1          0.000075817108 
1847       MPISG           2     64         1          25         1          1          0.000066280365 
1848       MPISG           2     64         1          25         1          1          0.000067710876 
1849       MPISG           2     64         1          25         1          1          0.000065326691 
1850       MPISG           2     64         1          25         1          1          0.000065803528 
1851       MPISG           2     64         1          25         1          1          0.000066041946 
1952       MPISG           2     128        1          25         1          1          0.000469207764 
1953       MPISG           2     128        1          25         1          1          0.000277042389 
1954       MPISG           2     128        1          25         1          1          0.000351667404 
1955       MPISG           2     128        1          25         1          1          0.000345945358 
1956       MPISG           2     128        1          25         1          1          0.000332593918 
1957       MPISG           2     128        1          25         1          1          0.000337839127 
1958       MPISG           2     128        1          25         1          1          0.000323057175 
1959       MPISG           2     128        1          25         1          1          0.000318288803 
1960       MPISG           2     128        1          25         1          1          0.000324487686 
1961       MPISG           2     128        1          25         1          1          0.000325679779 
1962       MPISG           2     128        1          25         1          1          0.000328779221 
1963       MPISG           2     128        1          25         1          1          0.000324726105 
1964       MPISG           2     128        1          25         1          1          0.000337123871 
1965       MPISG           2     128        1          25         1          1          0.000335693359 
1966       MPISG           2     128        1          25         1          1          0.000323534012 
1967       MPISG           2     128        1          25         1          1          0.000324487686 
1968       MPISG           2     128        1          25         1          1          0.000327110291 
1969       MPISG           2     128        1          25         1          1          0.000336647034 
1970       MPISG           2     128        1          25         1          1          0.000331163406 
1971       MPISG           2     128        1          25         1          1          0.000332355499 
1972       MPISG           2     128        1          25         1          1          0.000317096710 
1973       MPISG           2     128        1          25         1          1          0.000320672989 
1974       MPISG           2     128        1          25         1          1          0.000324487686 
1975       MPISG           2     128        1          25         1          1          0.000320672989 
1976       MPISG           2     128        1          25         1          1          0.000316381454 
2077       MPISG           2     256        1          25         1          1          0.001414299011 
2078       MPISG           2     256        1          25         1          1          0.000791549683 
2079       MPISG           2     256        1          25         1          1          0.001330852509 
2080       MPISG           2     256        1          25         1          1          0.001389741898 
2081       MPISG           2     256        1          25         1          1          0.001336812973 
2082       MPISG           2     256        1          25         1          1          0.001379013062 
2083       MPISG           2     256        1          25         1          1          0.001375913620 
2084       MPISG           2     256        1          25         1          1          0.001358985901 
2085       MPISG           2     256        1          25         1          1          0.001318454742 
2086       MPISG           2     256        1          25         1          1          0.001364707947 
2087       MPISG           2     256        1          25         1          1          0.001390933990 
2088       MPISG           2     256        1          25         1          1          0.001353263855 
2089       MPISG           2     256        1          25         1          1          0.001387596130 
2090       MPISG           2     256        1          25         1          1          0.001344203949 
2091       MPISG           2     256        1          25         1          1          0.001341819763 
2092       MPISG           2     256        1          25         1          1          0.001365184784 
2093       MPISG           2     256        1          25         1          1          0.001330614090 
2094       MPISG           2     256        1          25         1          1          0.001352071762 
2095       MPISG           2     256        1          25         1          1          0.001334428787 
2096       MPISG           2     256        1          25         1          1          0.001374959946 
2097       MPISG           2     256        1          25         1          1          0.001369953156 
2098       MPISG           2     256        1          25         1          1          0.001326799393 
2099       MPISG           2     256        1          25         1          1          0.001322269440 
2100       MPISG           2     256        1          25         1          1          0.001335859299 
2101       MPISG           2     256        1          25         1          1          0.001370191574 
2202       MPISG           2     512        1          25         1          1          0.004557609558 
2203       MPISG           2     512        1          25         1          1          0.002804994583 
2204       MPISG           2     512        1          25         1          1          0.002956390381 
2205       MPISG           2     512        1          25         1          1          0.003497123718 
2206       MPISG           2     512        1          25         1          1          0.003394365311 
2207       MPISG           2     512        1          25         1          1          0.003353118896 
2208       MPISG           2     512        1          25         1          1          0.003309249878 
2209       MPISG           2     512        1          25         1          1          0.002914667130 
2210       MPISG           2     512        1          25         1          1          0.003340721130 
2211       MPISG           2     512        1          25         1          1          0.004750967026 
2212       MPISG           2     512        1          25         1          1          0.003530263901 
2213       MPISG           2     512        1          25         1          1          0.004817485809 
2214       MPISG           2     512        1          25         1          1          0.003260374069 
2215       MPISG           2     512        1          25         1          1          0.004435300827 
2216       MPISG           2     512        1          25         1          1          0.003503561020 
2217       MPISG           2     512        1          25         1          1          0.003469228745 
2218       MPISG           2     512        1          25         1          1          0.004741191864 
2219       MPISG           2     512        1          25         1          1          0.004112720490 
2220       MPISG           2     512        1          25         1          1          0.004067659378 
2221       MPISG           2     512        1          25         1          1          0.003999948502 
2222       MPISG           2     512        1          25         1          1          0.003297328949 
2223       MPISG           2     512        1          25         1          1          0.003392457962 
2224       MPISG           2     512        1          25         1          1          0.004509687424 
2225       MPISG           2     512        1          25         1          1          0.003222703934 
2226       MPISG           2     512        1          25         1          1          0.003455638885 
2327       MPISG           2     1024       1          25         1          1          0.016305208206 
2328       MPISG           2     1024       1          25         1          1          0.015657663345 
2329       MPISG           2     1024       1          25         1          1          0.016398668289 
2330       MPISG           2     1024       1          25         1          1          0.015954256058 
2331       MPISG           2     1024       1          25         1          1          0.016750335693 
2332       MPISG           2     1024       1          25         1          1          0.016325473785 
2333       MPISG           2     1024       1          25         1          1          0.017236948013 
2334       MPISG           2     1024       1          25         1          1          0.016664981842 
2335       MPISG           2     1024       1          25         1          1          0.016187429428 
2336       MPISG           2     1024       1          25         1          1          0.016038656235 
2337       MPISG           2     1024       1          25         1          1          0.015761375427 
2338       MPISG           2     1024       1          25         1          1          0.015619993210 
2339       MPISG           2     1024       1          25         1          1          0.012908697128 
2340       MPISG           2     1024       1          25         1          1          0.013287782669 
2341       MPISG           2     1024       1          25         1          1          0.016622304916 
2342       MPISG           2     1024       1          25         1          1          0.016187429428 
2343       MPISG           2     1024       1          25         1          1          0.016375303268 
2344       MPISG           2     1024       1          25         1          1          0.016466617584 
2345       MPISG           2     1024       1          25         1          1          0.016532182693 
2346       MPISG           2     1024       1          25         1          1          0.016655683517 
2347       MPISG           2     1024       1          25         1          1          0.016498088837 
2348       MPISG           2     1024       1          25         1          1          0.015941619873 
2349       MPISG           2     1024       1          25         1          1          0.015491485596 
2350       MPISG           2     1024       1          25         1          1          0.012639522552 
2351       MPISG           2     1024       1          25         1          1          0.012836456299 
2452       MPIBLOCKOPT     4     16         1          25         0          1          0.000080347061 
2453       MPIBLOCKOPT     4     16         1          25         0          1          0.000031232834 
2454       MPIBLOCKOPT     4     16         1          25         0          1          0.000031709671 
2455       MPIBLOCKOPT     4     16         1          25         0          1          0.000041961670 
2456       MPIBLOCKOPT     4     16         1          25         0          1          0.000030040741 
2457       MPIBLOCKOPT     4     16         1          25         0          1          0.000044345856 
2458       MPIBLOCKOPT     4     16         1          25         0          1          0.000033855438 
2459       MPIBLOCKOPT     4     16         1          25         0          1          0.000030994415 
2460       MPIBLOCKOPT     4     16         1          25         0          1          0.000032424927 
2461       MPIBLOCKOPT     4     16         1          25         0          1          0.000031232834 
2462       MPIBLOCKOPT     4     16         1          25         0          1          0.000030517578 
2463       MPIBLOCKOPT     4     16         1          25         0          1          0.000030994415 
2464       MPIBLOCKOPT     4     16         1          25         0          1          0.000030279160 
2465       MPIBLOCKOPT     4     16         1          25         0          1          0.000030040741 
2466       MPIBLOCKOPT     4     16         1          25         0          1          0.000030755997 
2467       MPIBLOCKOPT     4     16         1          25         0          1          0.000030040741 
2468       MPIBLOCKOPT     4     16         1          25         0          1          0.000030040741 
2469       MPIBLOCKOPT     4     16         1          25         0          1          0.000030040741 
2470       MPIBLOCKOPT     4     16         1          25         0          1          0.000029802322 
2471       MPIBLOCKOPT     4     16         1          25         0          1          0.000030517578 
2472       MPIBLOCKOPT     4     16         1          25         0          1          0.000030040741 
2473       MPIBLOCKOPT     4     16         1          25         0          1          0.000030040741 
2474       MPIBLOCKOPT     4     16         1          25         0          1          0.000030040741 
2475       MPIBLOCKOPT     4     16         1          25         0          1          0.000039815903 
2476       MPIBLOCKOPT     4     16         1          25         0          1          0.000030040741 
2577       MPIBLOCKOPT     4     32         1          25         0          1          0.000083446503 
2578       MPIBLOCKOPT     4     32         1          25         0          1          0.000029563904 
2579       MPIBLOCKOPT     4     32         1          25         0          1          0.000037670135 
