N°        Compile         Mode  Dimension  Test_Mode  Samples    N Procs    Scaling    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
2          MPISG           2     16         1          25         1          0          0.000016474724  0.000016474724  1.00       100.00    %
9          MPISG           2     32         1          25         1          0          0.000024604797  0.000024604797  1.00       100.00    %
16         MPISG           2     64         1          25         1          0          0.000071406364  0.000071406364  1.00       100.00    %
23         MPISG           2     128        1          25         1          0          0.000337672234  0.000337672234  1.00       100.00    %
30         MPISG           2     256        1          25         1          0          0.001360988617  0.001360988617  1.00       100.00    %
37         MPISG           2     512        1          25         1          0          0.003912043571  0.003912043571  1.00       100.00    %
44         MPISG           2     1024       1          25         1          0          0.013612818718  0.013612818718  1.00       100.00    %
51         MPISG           2     2048       1          25         1          0          0.068868803978  0.068868803978  1.00       100.00    %
58         MPISG           2     4096       1          25         1          0          0.348160910606  0.348160910606  1.00       100.00    %
65         MPISG           2     16         1          25         1          1          0.000013804436  0.000013804436  1.00       100.00    %
70         MPISG           2     32         1          25         1          1          0.000020694733  0.000020694733  1.00       100.00    %
75         MPISG           2     64         1          25         1          1          0.000066113472  0.000066113472  1.00       100.00    %
80         MPISG           2     128        1          25         1          1          0.000326681137  0.000326681137  1.00       100.00    %
85         MPISG           2     256        1          25         1          1          0.001352286339  0.001352286339  1.00       100.00    %
90         MPISG           2     512        1          25         1          1          0.003493642807  0.003493642807  1.00       100.00    %
95         MPISG           2     1024       1          25         1          1          0.016147542000  0.016147542000  1.00       100.00    %
100        MPIBLOCKOPT     4     16         1          25         1          0          0.000030541420  0.000030541420  1.00       100.00    %
105        MPIBLOCKOPT     4     32         1          25         1          0          0.000047659874  0.000047659874  1.00       100.00    %
108        MPIBLOCKOPT     4     64         1          25         1          0          0.000120091438  0.000120091438  1.00       100.00    %
112        MPIBLOCKOPT     4     128        1          25         1          0          0.000446081161  0.000446081161  1.00       100.00    %
116        MPIBLOCKOPT     4     256        1          25         1          0          0.001687836647  0.001687836647  1.00       100.00    %
120        MPIBLOCKOPT     4     512        1          25         1          0          0.004935598373  0.004935598373  1.00       100.00    %
124        MPIBLOCKOPT     4     1024       1          25         1          0          0.015148043633  0.015148043633  1.00       100.00    %
128        MPIBLOCKOPT     4     2048       1          25         1          0          0.080321621895  0.080321621895  1.00       100.00    %
132        MPIBLOCKOPT     4     4096       1          25         1          0          0.404662728310  0.404662728310  1.00       100.00    %
