N°        Compile         Mode  Dimension  Test_Mode  Samples    N Procs    Scaling    Time(s)        
143        MPISG           2     16         1          25         0          16         0.000158548355 
144        MPISG           2     16         1          25         0          16         0.000156641006 
145        MPISG           2     16         1          25         0          16         0.000158548355 
146        MPISG           2     16         1          25         0          16         0.000157594681 
147        MPISG           2     16         1          25         0          16         0.000154018402 
148        MPISG           2     16         1          25         0          16         0.000156164169 
149        MPISG           2     16         1          25         0          16         0.000155210495 
150        MPISG           2     16         1          25         0          16         0.000157833099 
151        MPISG           2     16         1          25         0          16         0.000153064728 
152        MPISG           2     16         1          25         0          16         0.001882553101 
153        MPISG           2     16         1          25         0          16         0.000544071198 
154        MPISG           2     16         1          25         0          16         0.000526666641 
155        MPISG           2     16         1          25         0          16         0.000505685806 
156        MPISG           2     16         1          25         0          16         0.000315666199 
157        MPISG           2     16         1          25         0          16         0.000171422958 
158        MPISG           2     16         1          25         0          16         0.000180721283 
159        MPISG           2     16         1          25         0          16         0.000168800354 
160        MPISG           2     16         1          25         0          16         0.000177145004 
161        MPISG           2     16         1          25         0          16         0.000170469284 
162        MPISG           2     16         1          25         0          16         0.000158548355 
163        MPISG           2     16         1          25         0          16         0.000161886215 
164        MPISG           2     16         1          25         0          16         0.000161170959 
165        MPISG           2     16         1          25         0          16         0.000150680542 
166        MPISG           2     16         1          25         0          16         0.000163078308 
167        MPISG           2     16         1          25         0          16         0.000159978867 
168        MPISG           2     16         1          25         0          16         0.000169992447 
169        MPISG           2     16         1          25         0          16         0.000165700912 
170        MPISG           2     16         1          25         0          16         0.000154018402 
171        MPISG           2     16         1          25         0          16         0.000159978867 
172        MPISG           2     16         1          25         0          16         0.000154972076 
173        MPISG           2     16         1          25         0          16         0.000154733658 
174        MPISG           2     16         1          25         0          16         0.000157594681 
175        MPISG           2     16         1          25         0          16         0.000158309937 
176        MPISG           2     16         1          25         0          16         0.000154018402 
202        MPISG           2     32         1          25         0          2          0.000098943710 
203        MPISG           2     32         1          25         0          2          0.000069379807 
204        MPISG           2     32         1          25         0          2          0.000033855438 
205        MPISG           2     32         1          25         0          2          0.000024080276 
206        MPISG           2     32         1          25         0          2          0.000025033951 
207        MPISG           2     32         1          25         0          2          0.000023365021 
208        MPISG           2     32         1          25         0          2          0.000024318695 
209        MPISG           2     32         1          25         0          2          0.000025749207 
210        MPISG           2     32         1          25         0          2          0.000023365021 
211        MPISG           2     32         1          25         0          2          0.000025272369 
212        MPISG           2     32         1          25         0          2          0.000026464462 
213        MPISG           2     32         1          25         0          2          0.000026226044 
214        MPISG           2     32         1          25         0          2          0.000028610229 
215        MPISG           2     32         1          25         0          2          0.000024080276 
216        MPISG           2     32         1          25         0          2          0.000024318695 
217        MPISG           2     32         1          25         0          2          0.000025272369 
218        MPISG           2     32         1          25         0          2          0.000027179718 
219        MPISG           2     32         1          25         0          2          0.000024795532 
220        MPISG           2     32         1          25         0          2          0.000026226044 
221        MPISG           2     32         1          25         0          2          0.000024318695 
222        MPISG           2     32         1          25         0          2          0.000024795532 
223        MPISG           2     32         1          25         0          2          0.000025510788 
224        MPISG           2     32         1          25         0          2          0.000024318695 
225        MPISG           2     32         1          25         0          2          0.000024318695 
226        MPISG           2     32         1          25         0          2          0.000025272369 
227        MPISG           2     32         1          25         0          4          0.000713109970 
228        MPISG           2     32         1          25         0          4          0.000198602676 
229        MPISG           2     32         1          25         0          4          0.000100135803 
230        MPISG           2     32         1          25         0          4          0.000073909760 
231        MPISG           2     32         1          25         0          4          0.000094413757 
232        MPISG           2     32         1          25         0          4          0.000077486038 
233        MPISG           2     32         1          25         0          4          0.000065803528 
234        MPISG           2     32         1          25         0          4          0.000062942505 
235        MPISG           2     32         1          25         0          4          0.000069379807 
236        MPISG           2     32         1          25         0          4          0.000063419342 
237        MPISG           2     32         1          25         0          4          0.000062942505 
238        MPISG           2     32         1          25         0          4          0.000061988831 
239        MPISG           2     32         1          25         0          4          0.000095844269 
240        MPISG           2     32         1          25         0          4          0.000087738037 
241        MPISG           2     32         1          25         0          4          0.000070333481 
242        MPISG           2     32         1          25         0          4          0.000063896179 
243        MPISG           2     32         1          25         0          4          0.000077962875 
244        MPISG           2     32         1          25         0          4          0.000087499619 
245        MPISG           2     32         1          25         0          4          0.000077009201 
246        MPISG           2     32         1          25         0          4          0.000073432922 
247        MPISG           2     32         1          25         0          4          0.000074386597 
248        MPISG           2     32         1          25         0          4          0.000070571899 
249        MPISG           2     32         1          25         0          4          0.000071287155 
250        MPISG           2     32         1          25         0          4          0.000070571899 
251        MPISG           2     32         1          25         0          4          0.000070333481 
252        MPISG           2     32         1          25         0          8          0.001450777054 
253        MPISG           2     32         1          25         0          8          0.000455379486 
254        MPISG           2     32         1          25         0          8          0.000156402588 
255        MPISG           2     32         1          25         0          8          0.000137567520 
256        MPISG           2     32         1          25         0          8          0.000139236450 
257        MPISG           2     32         1          25         0          8          0.000135421753 
258        MPISG           2     32         1          25         0          8          0.000164031982 
259        MPISG           2     32         1          25         0          8          0.000133037567 
260        MPISG           2     32         1          25         0          8          0.000131845474 
261        MPISG           2     32         1          25         0          8          0.000134229660 
262        MPISG           2     32         1          25         0          8          0.000140666962 
263        MPISG           2     32         1          25         0          8          0.000133514404 
