N°        Compile         Mode  Dimension  Test_Mode  Samples    N Procs    Scaling    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
1          MPISG           2     16         1          25         1          0          0.000006580353  0.000006580353  1.00       100.00    %
2          MPISG           2     16         1          25         2          0          0.000015974045  0.000006580353  0.41       20.60     %
3          MPISG           2     16         1          25         4          0          0.000038361549  0.000006580353  0.17       4.29      %
4          MPISG           2     16         1          25         8          0          0.000085163116  0.000006580353  0.08       0.97      %
5          MPISG           2     16         1          25         16         0          0.000158405304  0.000006580353  0.04       0.26      %
6          MPISG           2     16         1          25         32         0          0.000171470642  0.000006580353  0.04       0.12      %
7          MPISG           2     16         1          25         64         0          0.000163960457  0.000006580353  0.04       0.06      %
8          MPISG           2     32         1          25         1          0          0.000010395050  0.000010395050  1.00       100.00    %
9          MPISG           2     32         1          25         2          0          0.000025033951  0.000010395050  0.42       20.76     %
10         MPISG           2     32         1          25         4          0          0.000072932243  0.000010395050  0.14       3.56      %
11         MPISG           2     32         1          25         8          0          0.000145411491  0.000010395050  0.07       0.89      %
12         MPISG           2     32         1          25         16         0          0.000318312645  0.000010395050  0.03       0.20      %
13         MPISG           2     32         1          25         32         0          0.000395727158  0.000010395050  0.03       0.08      %
14         MPISG           2     32         1          25         64         0          0.000390768051  0.000010395050  0.03       0.04      %
15         MPISG           2     64         1          25         1          0          0.000031614304  0.000031614304  1.00       100.00    %
16         MPISG           2     64         1          25         2          0          0.000046086311  0.000031614304  0.69       34.30     %
17         MPISG           2     64         1          25         4          0          0.000147175789  0.000031614304  0.21       5.37      %
18         MPISG           2     64         1          25         8          0          0.000283622742  0.000031614304  0.11       1.39      %
19         MPISG           2     64         1          25         16         0          0.000720238686  0.000031614304  0.04       0.27      %
20         MPISG           2     64         1          25         32         0          0.000758004189  0.000031614304  0.04       0.13      %
21         MPISG           2     64         1          25         64         0          0.001587224007  0.000031614304  0.02       0.03      %
22         MPISG           2     128        1          25         1          0          0.000135684013  0.000135684013  1.00       100.00    %
23         MPISG           2     128        1          25         2          0          0.000121426582  0.000135684013  1.12       55.87     %
24         MPISG           2     128        1          25         4          0          0.000319242477  0.000135684013  0.43       10.63     %
25         MPISG           2     128        1          25         8          0          0.000729894638  0.000135684013  0.19       2.32      %
26         MPISG           2     128        1          25         16         0          0.002302098274  0.000135684013  0.06       0.37      %
27         MPISG           2     128        1          25         32         0          0.001535892487  0.000135684013  0.09       0.28      %
28         MPISG           2     128        1          25         64         0          0.003002691269  0.000135684013  0.05       0.07      %
29         MPISG           2     256        1          25         1          0          0.000544118881  0.000544118881  1.00       100.00    %
30         MPISG           2     256        1          25         2          0          0.000457310677  0.000544118881  1.19       59.49     %
31         MPISG           2     256        1          25         4          0          0.000830888748  0.000544118881  0.65       16.37     %
32         MPISG           2     256        1          25         8          0          0.002093696594  0.000544118881  0.26       3.25      %
33         MPISG           2     256        1          25         16         0          0.006738471985  0.000544118881  0.08       0.50      %
34         MPISG           2     256        1          25         32         0          0.003117012978  0.000544118881  0.17       0.55      %
35         MPISG           2     256        1          25         64         0          0.006237411499  0.000544118881  0.09       0.14      %
36         MPISG           2     512        1          25         1          0          0.002483010292  0.002483010292  1.00       100.00    %
37         MPISG           2     512        1          25         2          0          0.001686191559  0.002483010292  1.47       73.63     %
38         MPISG           2     512        1          25         4          0          0.002122688293  0.002483010292  1.17       29.24     %
39         MPISG           2     512        1          25         8          0          0.004827046394  0.002483010292  0.51       6.43      %
40         MPISG           2     512        1          25         16         0          0.017872285843  0.002483010292  0.14       0.87      %
41         MPISG           2     512        1          25         32         0          0.006441640854  0.002483010292  0.39       1.20      %
42         MPISG           2     512        1          25         64         0          0.012874865532  0.002483010292  0.19       0.30      %
43         MPISG           2     1024       1          25         1          0          0.011057472229  0.011057472229  1.00       100.00    %
44         MPISG           2     1024       1          25         2          0          0.007407736778  0.011057472229  1.49       74.63     %
45         MPISG           2     1024       1          25         4          0          0.006694459915  0.011057472229  1.65       41.29     %
46         MPISG           2     1024       1          25         8          0          0.011136293411  0.011057472229  0.99       12.41     %
47         MPISG           2     1024       1          25         16         0          0.038417911530  0.011057472229  0.29       1.80      %
48         MPISG           2     1024       1          25         32         0          0.014545822144  0.011057472229  0.76       2.38      %
49         MPISG           2     1024       1          25         64         0          0.027134966850  0.011057472229  0.41       0.64      %
50         MPISG           2     2048       1          25         1          0          0.046973061562  0.046973061562  1.00       100.00    %
51         MPISG           2     2048       1          25         2          0          0.031785368919  0.046973061562  1.48       73.89     %
52         MPISG           2     2048       1          25         4          0          0.026462864876  0.046973061562  1.78       44.38     %
53         MPISG           2     2048       1          25         8          0          0.035290598869  0.046973061562  1.33       16.64     %
54         MPISG           2     2048       1          25         16         0          0.089134597778  0.046973061562  0.53       3.29      %
55         MPISG           2     2048       1          25         32         0          0.038255286217  0.046973061562  1.23       3.84      %
56         MPISG           2     2048       1          25         64         0          0.066858410835  0.046973061562  0.70       1.10      %
57         MPISG           2     4096       1          25         1          0          0.224737787247  0.224737787247  1.00       100.00    %
58         MPISG           2     4096       1          25         2          0          0.153111052513  0.224737787247  1.47       73.39     %
59         MPISG           2     4096       1          25         4          0          0.147977185249  0.224737787247  1.52       37.97     %
60         MPISG           2     4096       1          25         8          0          0.141134858131  0.224737787247  1.59       19.90     %
61         MPISG           2     4096       1          25         16         0          0.242561078072  0.224737787247  0.93       5.79      %
62         MPISG           2     4096       1          25         32         0          0.140732645988  0.224737787247  1.60       4.99      %
63         MPISG           2     4096       1          25         64         0          0.172506213188  0.224737787247  1.30       2.04      %
64         MPISG           2     16         1          25         1          1          0.000008034706  0.000008034706  1.00       100.00    %
65         MPISG           2     16         1          25         2          1          0.000024890900  0.000008034706  0.32       16.14     %
66         MPISG           2     16         1          25         4          1          0.000141310692  0.000008034706  0.06       1.42      %
