N°        Compile         Mode  Dimension  Test_Mode  Samples    N Procs    Scaling    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
3          MPISG           2     16         1          25         2          0          0.000015974045  0.000006580353  0.41       20.60     %
4          MPISG           2     16         1          25         4          0          0.000038361549  0.000006580353  0.17       4.29      %
5          MPISG           2     16         1          25         8          0          0.000085163116  0.000006580353  0.08       0.97      %
6          MPISG           2     16         1          25         16         0          0.000158405304  0.000006580353  0.04       0.26      %
7          MPISG           2     16         1          25         32         0          0.000171470642  0.000006580353  0.04       0.12      %
8          MPISG           2     16         1          25         64         0          0.000163960457  0.000006580353  0.04       0.06      %
10         MPISG           2     32         1          25         2          0          0.000025033951  0.000010395050  0.42       20.76     %
11         MPISG           2     32         1          25         4          0          0.000072932243  0.000010395050  0.14       3.56      %
12         MPISG           2     32         1          25         8          0          0.000145411491  0.000010395050  0.07       0.89      %
13         MPISG           2     32         1          25         16         0          0.000318312645  0.000010395050  0.03       0.20      %
14         MPISG           2     32         1          25         32         0          0.000395727158  0.000010395050  0.03       0.08      %
15         MPISG           2     32         1          25         64         0          0.000390768051  0.000010395050  0.03       0.04      %
17         MPISG           2     64         1          25         2          0          0.000046086311  0.000031614304  0.69       34.30     %
18         MPISG           2     64         1          25         4          0          0.000147175789  0.000031614304  0.21       5.37      %
19         MPISG           2     64         1          25         8          0          0.000283622742  0.000031614304  0.11       1.39      %
20         MPISG           2     64         1          25         16         0          0.000720238686  0.000031614304  0.04       0.27      %
21         MPISG           2     64         1          25         32         0          0.000758004189  0.000031614304  0.04       0.13      %
22         MPISG           2     64         1          25         64         0          0.001587224007  0.000031614304  0.02       0.03      %
24         MPISG           2     128        1          25         2          0          0.000121426582  0.000135684013  1.12       55.87     %
25         MPISG           2     128        1          25         4          0          0.000319242477  0.000135684013  0.43       10.63     %
26         MPISG           2     128        1          25         8          0          0.000729894638  0.000135684013  0.19       2.32      %
27         MPISG           2     128        1          25         16         0          0.002302098274  0.000135684013  0.06       0.37      %
28         MPISG           2     128        1          25         32         0          0.001535892487  0.000135684013  0.09       0.28      %
29         MPISG           2     128        1          25         64         0          0.003002691269  0.000135684013  0.05       0.07      %
31         MPISG           2     256        1          25         2          0          0.000457310677  0.000544118881  1.19       59.49     %
32         MPISG           2     256        1          25         4          0          0.000830888748  0.000544118881  0.65       16.37     %
33         MPISG           2     256        1          25         8          0          0.002093696594  0.000544118881  0.26       3.25      %
34         MPISG           2     256        1          25         16         0          0.006738471985  0.000544118881  0.08       0.50      %
35         MPISG           2     256        1          25         32         0          0.003117012978  0.000544118881  0.17       0.55      %
36         MPISG           2     256        1          25         64         0          0.006237411499  0.000544118881  0.09       0.14      %
38         MPISG           2     512        1          25         2          0          0.001686191559  0.002483010292  1.47       73.63     %
39         MPISG           2     512        1          25         4          0          0.002122688293  0.002483010292  1.17       29.24     %
40         MPISG           2     512        1          25         8          0          0.004827046394  0.002483010292  0.51       6.43      %
41         MPISG           2     512        1          25         16         0          0.017872285843  0.002483010292  0.14       0.87      %
